lambda,signal,smoothed_signal_tv_0.5_1000
4e-07,0.0971231,0.10649414185492491
4.0048e-07,0.0978365,0.10649559815210378
4.0096e-07,0.0986316,0.10649851023196458
4.0144e-07,0.0993799,0.10650287707777036
4.0192e-07,0.10017,0.10650869713969863
4.024e-07,0.10092,0.10651596838402225
4.0288e-07,0.101378,0.10652468823195214
4.0336e-07,0.101516,0.10653485364051136
4.0384e-07,0.101607,0.10654646101210727
4.0432e-07,0.101864,0.10655950630547564
4.048e-07,0.102253,0.10657398491752781
4.05281e-07,0.102725,0.10658989182214164
4.05761e-07,0.103402,0.10660722142631776
4.06241e-07,0.104417,0.10662596773403717
4.06721e-07,0.105672,0.10664612417923158
4.07201e-07,0.106894,0.10666768381142151
4.07681e-07,0.107901,0.10669063910845568
4.08161e-07,0.108702,0.10671498218019516
4.08641e-07,0.109357,0.10674070456440353
4.09121e-07,0.109823,0.10676779744435654
4.09601e-07,0.110019,0.10679625143166568
4.10081e-07,0.109981,0.10682605679337168
4.10561e-07,0.109896,0.10685720322585669
4.11041e-07,0.109961,0.10688968008672463
4.11521e-07,0.110236,0.10692347616429937
4.12001e-07,0.110646,0.10695857990940395
4.12481e-07,0.111086,0.10699497920525118
4.12961e-07,0.111514,0.10703266159410507
4.13441e-07,0.111935,0.10707161405264347
4.13921e-07,0.112314,0.10711182320841413
4.14401e-07,0.112551,0.10715327512598412
4.14881e-07,0.112531,0.107195955508084
4.15362e-07,0.112208,0.10723984949805383
4.15842e-07,0.11165,0.10728494186059502
4.16322e-07,0.110997,0.10733121680617555
4.16802e-07,0.110386,0.10737865814637278
4.17282e-07,0.109889,0.10742724914600918
4.17762e-07,0.109514,0.10747697264816258
4.18242e-07,0.109231,0.10752781095986733
4.18722e-07,0.10901,0.10757974594198208
4.19202e-07,0.108825,0.1076327589343089
4.19682e-07,0.108641,0.10768683080563615
4.20162e-07,0.108403,0.10774194192409767
4.20642e-07,0.108035,0.1077980721628415
4.21122e-07,0.107468,0.10785520092137488
4.21602e-07,0.106671,0.10791330708244105
4.22082e-07,0.105671,0.10797236908997306
4.22562e-07,0.104559,0.10803236485288602
4.23042e-07,0.103459,0.10809327188509484
4.23522e-07,0.102497,0.10815506715204386
4.24002e-07,0.101768,0.1082177272780321
4.24482e-07,0.101317,0.10828122833140352
4.24962e-07,0.101137,0.108345546104171
4.25443e-07,0.101179,0.10841065583187716
4.25923e-07,0.101375,0.10847653255021798
4.26403e-07,0.101649,0.1085431507456572
4.26883e-07,0.101938,0.10861048479342535
4.27363e-07,0.102202,0.10867850853503266
4.27843e-07,0.102422,0.10874719580166288
4.28323e-07,0.102608,0.1088165199147847
4.28803e-07,0.102796,0.10888645429857587
4.29283e-07,0.103033,0.10895697189988733
4.29763e-07,0.103375,0.1090280458929256
4.30243e-07,0.103869,0.10909964901488345
4.30723e-07,0.104542,0.10917175436568244
4.31203e-07,0.105393,0.10924433465565672
4.31683e-07,0.106387,0.1093173631027165
4.32163e-07,0.107462,0.10939081258856652
4.32643e-07,0.108535,0.1094646566551991
4.33123e-07,0.109522,0.10953886856625455
4.33603e-07,0.110349,0.10961342240429327
4.34083e-07,0.110965,0.10968829203407096
4.34563e-07,0.111352,0.10976345230157573
4.35044e-07,0.11153,0.10983887789620543
4.35524e-07,0.111548,0.10991454465209129
4.36004e-07,0.111479,0.10999042830643439
4.36484e-07,0.111399,0.11006650590317547
4.36964e-07,0.111379,0.1101427544450797
4.37444e-07,0.111468,0.11021915239935373
4.37924e-07,0.111685,0.11029567824146762
4.38404e-07,0.112022,0.11037231206186776
4.38884e-07,0.112441,0.11044903399999453
4.39364e-07,0.112888,0.1105258259507944
4.39844e-07,0.113299,0.11060266988793314
4.40324e-07,0.113617,0.11067954966837355
4.40804e-07,0.1138,0.11075644924439483
4.41284e-07,0.113827,0.11083335456407509
4.41764e-07,0.113708,0.11091025167240454
4.42244e-07,0.113477,0.11098712870509468
4.42724e-07,0.113194,0.11106397387980957
4.43204e-07,0.112931,0.11114077758031793
4.43684e-07,0.11276,0.1112175302396543
4.44164e-07,0.112746,0.11129422451123602
4.44644e-07,0.112929,0.11137085304659475
4.45125e-07,0.113321,0.11144741074969862
4.45605e-07,0.113901,0.11152389245275002
4.46085e-07,0.114618,0.11160029524958649
4.46565e-07,0.115399,0.11167661607390832
4.47045e-07,0.116158,0.11175285410728074
4.47525e-07,0.116812,0.1118290082650193
4.48005e-07,0.117293,0.11190507967398235
4.48485e-07,0.117561,0.11198106907218588
4.48965e-07,0.117606,0.11205697935126195
4.49445e-07,0.117454,0.11213281287668009
4.49925e-07,0.117153,0.112208574089457
4.50405e-07,0.116772,0.11228426675461053
4.50885e-07,0.116376,0.11235989661644226
4.51365e-07,0.116024,0.11243546858352532
4.51845e-07,0.115751,0.11251098943164738
4.52325e-07,0.115563,0.11258646493421964
4.52805e-07,0.115441,0.1126619026067666
4.53285e-07,0.115344,0.11273730879212536
4.53765e-07,0.115219,0.11281269144020473
4.54245e-07,0.115011,0.11288805715770857
4.54725e-07,0.114672,0.11296341401676435
4.55206e-07,0.114175,0.11303876857914065
4.55686e-07,0.113512,0.1131141287272683
4.56166e-07,0.112705,0.11318950067302262
4.56646e-07,0.111793,0.11326489180463202
4.57126e-07,0.110834,0.1133403076900555
4.57606e-07,0.109894,0.11341575493329711
4.58086e-07,0.109037,0.11349123818222619
4.58566e-07,0.108319,0.11356676298789502
4.59046e-07,0.107778,0.1136423328263241
4.59526e-07,0.107433,0.11371795195455628
4.60006e-07,0.10728,0.11379362245546686
4.60486e-07,0.107294,0.11386934708448179
4.60966e-07,0.107434,0.11394512634587967
4.61446e-07,0.107648,0.11402096132435514
4.61926e-07,0.107879,0.11409685080056622
4.62406e-07,0.108074,0.11417279406203695
4.62886e-07,0.108198,0.11424878806488162
4.63366e-07,0.108238,0.11432483021891157
4.63846e-07,0.108208,0.11440091560155236
4.64326e-07,0.108136,0.11447703971244598
4.64806e-07,0.108069,0.11455319574458449
4.65287e-07,0.108063,0.11462937730417772
4.65767e-07,0.108179,0.11470557574297445
4.66247e-07,0.108473,0.11478178283969319
4.66727e-07,0.108987,0.11485798819640824
4.67207e-07,0.109718,0.11493418187841171
4.67687e-07,0.110672,0.11501035187642601
4.68167e-07,0.111805,0.11508648670237308
4.68647e-07,0.113048,0.11516257291805554
4.69127e-07,0.114324,0.11523859768494701
4.69607e-07,0.115554,0.11531454635888029
4.70087e-07,0.116669,0.11539040499263296
4.70567e-07,0.117619,0.11546615799508975
4.71047e-07,0.118384,0.11554179058607192
4.71527e-07,0.118967,0.11561728651741973
4.72007e-07,0.119398,0.1156926304801926
4.72487e-07,0.119718,0.11576780588416138
4.72967e-07,0.119975,0.11584279721818017
4.73447e-07,0.120207,0.11591758788370014
4.73927e-07,0.120444,0.11599216250977286
4.74407e-07,0.120705,0.11606650483541023
4.74887e-07,0.120999,0.11614059998131294
4.75368e-07,0.121327,0.11621443237521432
4.75848e-07,0.121685,0.11628798798302649
4.76328e-07,0.122054,0.11636125227072718
4.76808e-07,0.1224,0.11643421239817085
4.77288e-07,0.122674,0.1165068552106132
4.77768e-07,0.12282,0.11657916939893426
4.78248e-07,0.122793,0.11665114351355045
4.78728e-07,0.122571,0.11672276809523335
4.79208e-07,0.122169,0.11679403370393476
4.79688e-07,0.121633,0.11686493302475089
4.80168e-07,0.12102,0.11693545890408323
4.80648e-07,0.120382,0.11700560643558575
4.81128e-07,0.119752,0.11707537099610214
4.81608e-07,0.11915,0.1171447503166384
4.82088e-07,0.118591,0.1172137425106524
4.82568e-07,0.118104,0.11728234813521096
4.83048e-07,0.117728,0.1173505682044574
4.83528e-07,0.117494,0.11741840624613853
4.84008e-07,0.117407,0.11748586629343392
4.84488e-07,0.117436,0.11755295494197347
4.84968e-07,0.117526,0.11761967931367213
4.85449e-07,0.117622,0.1176860491192038
4.85929e-07,0.117698,0.11775207458804009
4.86409e-07,0.117751,0.11781776854110315
4.86889e-07,0.11778,0.1178831442818486
4.87369e-07,0.117768,0.11794821768349403
4.87849e-07,0.117677,0.11801300503670388
4.88329e-07,0.117481,0.11807752515538852
4.88809e-07,0.117185,0.1181417971773337
4.89289e-07,0.116835,0.11820584269209401
4.89769e-07,0.11649,0.11826968349175106
4.90249e-07,0.116192,0.11833334372389544
4.90729e-07,0.115954,0.11839684759058365
4.91209e-07,0.115779,0.11846022152882539
4.91689e-07,0.115679,0.11852349185672854
4.92169e-07,0.115685,0.11858668698329498
4.92649e-07,0.115825,0.11864983500168336
4.93129e-07,0.116099,0.11871296592948004
4.93609e-07,0.116475,0.11877610924995782
4.94089e-07,0.116899,0.11883929618334263
4.94569e-07,0.117335,0.11890255717789028
4.9505e-07,0.117774,0.1189659242120263
4.9553e-07,0.118221,0.11902942823799041
4.9601e-07,0.118663,0.11909310151410002
4.9649e-07,0.119058,0.11915697500460909
4.9697e-07,0.11937,0.11922108074074783
4.9745e-07,0.119608,0.11928544918129763
4.9793e-07,0.119827,0.11935011160050113
4.9841e-07,0.120071,0.11941509741465482
4.9889e-07,0.120334,0.11948043659447596
4.9937e-07,0.120584,0.11954615696374768
4.9985e-07,0.120824,0.11961228663327955
5.0033e-07,0.121109,0.11967885127829649
5.0081e-07,0.121467,0.11974587659074476
5.0129e-07,0.121853,0.11981338554268461
5.0177e-07,0.122186,0.11988140085337845
5.0225e-07,0.122436,0.11994994224641904
5.0273e-07,0.122637,0.12001902892779338
5.0321e-07,0.122799,0.12008867684484592
5.0369e-07,0.122858,0.12015890117134073
5.0417e-07,0.122748,0.12022971357661578
5.0465e-07,0.122494,0.12030112471356584
5.05131e-07,0.122181,0.12037314150648429
5.05611e-07,0.121842,0.12044576963785612
5.06091e-07,0.121433,0.12051901086340491
5.06571e-07,0.120951,0.12059286549361367
5.07051e-07,0.120486,0.12066732974439458
5.07531e-07,0.120122,0.12074239820933858
5.08011e-07,0.119836,0.12081806125420447
5.08491e-07,0.11957,0.12089430747602795
5.08971e-07,0.119348,0.12097112114928622
5.09451e-07,0.119243,0.12104848466816452
5.09931e-07,0.119241,0.12112637605179698
5.10411e-07,0.119247,0.1212047713661835
5.10891e-07,0.119224,0.12128364229534234
5.11371e-07,0.119225,0.12136295853958409
5.11851e-07,0.119255,0.12144268545874255
5.12331e-07,0.119224,0.12152278644373564
5.12811e-07,0.119079,0.12160322063727894
5.13291e-07,0.118875,0.12168394527588657
5.13771e-07,0.11865,0.12176491349262547
5.14251e-07,0.118355,0.1218460766269257
5.14731e-07,0.117957,0.12192738211301522
5.15212e-07,0.117531,0.12200877575511161
5.15692e-07,0.117145,0.12209019970419967
5.16172e-07,0.116781,0.12217159469636071
5.16652e-07,0.116427,0.12225289811953248
5.17132e-07,0.116149,0.1223340462128942
5.17612e-07,0.116005,0.12241497222419516
5.18092e-07,0.11597,0.12249560856825205
5.18572e-07,0.116015,0.12257588507436466
5.19052e-07,0.116171,0.12265573110209647
5.19532e-07,0.116457,0.12273507387722885
5.20012e-07,0.116828,0.12281384056308868
5.20492e-07,0.117243,0.12289195668244214
5.20972e-07,0.117709,0.1229693481427074
5.21452e-07,0.11823,0.12304593974017157
5.21932e-07,0.118773,0.12312165713748688
5.22412e-07,0.119306,0.12319642544562572
5.22892e-07,0.11984,0.1232701711521104
5.23372e-07,0.120398,0.12334282077521679
5.23852e-07,0.120962,0.12341430274143775
5.24332e-07,0.121503,0.12348454610561936
5.24812e-07,0.122054,0.12355348237621408
5.25293e-07,0.122647,0.12362104429429877
5.25773e-07,0.123247,0.12368716760524165
5.26253e-07,0.123838,0.12375178988892138
5.26733e-07,0.12448,0.12381485227651938
5.27213e-07,0.12518,0.123876298323744
5.27693e-07,0.125885,0.12393607567157389
5.28173e-07,0.126619,0.1239941349539004
