lambda,signal,smoothed_signal_tv_0.5_1000
4e-07,0.106123,0.10335327432878164
4.0048e-07,0.10538,0.10335496436035499
4.0096e-07,0.10475,0.1033583431825864
4.0144e-07,0.104386,0.10336340827428821
4.0192e-07,0.104346,0.10337015591210807
4.024e-07,0.104575,0.103378581070026
4.0288e-07,0.104931,0.10338867757473051
4.0336e-07,0.105224,0.10340043793938325
4.0384e-07,0.105278,0.10341385359455833
4.0432e-07,0.10498,0.10342891465811237
4.048e-07,0.104311,0.10344561023917984
4.05281e-07,0.10335,0.10346392814665314
4.05761e-07,0.102247,0.10348385526297481
4.06241e-07,0.101181,0.10350537719434277
4.06721e-07,0.100312,0.10352847871034772
4.07201e-07,0.099741,0.10355314333956521
4.07681e-07,0.0994877,0.10357935387046105
4.08161e-07,0.0994859,0.10360709189650769
4.08641e-07,0.0996066,0.10363633837322896
4.09121e-07,0.0996964,0.10366707311737816
4.09601e-07,0.0996204,0.10369927541452169
4.10081e-07,0.0992988,0.10373292347713696
4.10561e-07,0.0987276,0.10376799509674656
4.11041e-07,0.0979821,0.10380446706603413
4.11521e-07,0.0971992,0.10384231586923978
4.12001e-07,0.0965371,0.1038815170735515
4.12481e-07,0.0961238,0.10392204605125994
4.12961e-07,0.0960335,0.10396387734576408
4.13441e-07,0.0963012,0.10400698541885939
4.13921e-07,0.0968903,0.10405134399670228
4.14401e-07,0.0976649,0.10409692683556995
4.14881e-07,0.0985275,0.10414370705306282
4.15362e-07,0.0993428,0.10419165790572439
4.15842e-07,0.100028,0.10424075211063111
4.16322e-07,0.100539,0.10429096262839334
4.16802e-07,0.100894,0.10434226198009353
4.17282e-07,0.101163,0.10439462302940139
4.17762e-07,0.101443,0.104448018299581
4.18242e-07,0.101833,0.10450242074873947
4.18722e-07,0.102407,0.10455780309133984
4.19202e-07,0.103192,0.10461413856095626
4.19682e-07,0.104161,0.10467140024041001
4.20162e-07,0.105237,0.10472956180682
4.20642e-07,0.106311,0.10478859687413071
4.21122e-07,0.107266,0.10484847971571785
4.21602e-07,0.108006,0.10490918462270708
4.22082e-07,0.108475,0.10497068659991232
4.22562e-07,0.108672,0.10503296074296091
4.23042e-07,0.108647,0.10509598290389847
4.23522e-07,0.108491,0.10515972908974479
4.24002e-07,0.108316,0.10522417609468608
4.24482e-07,0.108227,0.10528930092229319
4.24962e-07,0.108301,0.10535508138183024
4.25443e-07,0.108567,0.10542149553597714
4.25923e-07,0.108998,0.1054885222594049
4.26403e-07,0.109522,0.10555614071346192
4.26883e-07,0.110042,0.10562433086579098
4.27363e-07,0.110463,0.10569307299306802
4.27843e-07,0.110717,0.10576234816105477
4.28323e-07,0.110777,0.10583213775612128
4.28803e-07,0.110656,0.10590242392573378
4.29283e-07,0.110397,0.10597318913914967
4.29763e-07,0.110051,0.1060444165889238
4.30243e-07,0.109671,0.10611608978083904
4.30723e-07,0.109298,0.10618819289756674
4.31203e-07,0.108971,0.10626071041758778
4.31683e-07,0.108727,0.10633362744265845
4.32163e-07,0.108598,0.10640692934518564
4.32643e-07,0.108592,0.10648060206162058
4.33123e-07,0.108674,0.10655463176747706
4.33603e-07,0.108764,0.1066290051391971
4.34083e-07,0.108754,0.1067037090557428
4.34563e-07,0.108551,0.10677873083184383
4.35044e-07,0.108121,0.10685405794485117
4.35524e-07,0.107503,0.10692967824258347
4.36004e-07,0.10678,0.10700557969390265
4.36484e-07,0.106036,0.10708175057462171
4.36964e-07,0.105318,0.10715817924004833
4.37444e-07,0.104645,0.10723485429259805
4.37924e-07,0.104036,0.10731176437435187
4.38404e-07,0.103542,0.10738889832013575
4.38884e-07,0.10323,0.1074662449679518
4.39364e-07,0.103132,0.10754379330133779
4.39844e-07,0.103205,0.10762153227535867
4.40324e-07,0.103345,0.1076994509520507
4.40804e-07,0.103449,0.10777753833950135
4.41284e-07,0.103479,0.10785578352411314
4.41764e-07,0.103467,0.10793417552015754
4.42244e-07,0.103456,0.10801270340246819
4.42724e-07,0.103449,0.1080913561637279
4.43204e-07,0.103412,0.10817012285102467
4.43684e-07,0.103342,0.10824899242802355
4.44164e-07,0.103317,0.10832795391859566
4.44644e-07,0.103454,0.10840699627094105
4.45125e-07,0.103821,0.1084861085112381
4.45605e-07,0.104373,0.10856527960672073
4.46085e-07,0.105009,0.10864449863199989
4.46565e-07,0.105669,0.10872375462806227
4.47045e-07,0.106368,0.10880303678359371
4.47525e-07,0.107116,0.10888233428685933
4.48005e-07,0.107834,0.10896163652401838
4.48485e-07,0.108387,0.10904093292087023
4.48965e-07,0.108717,0.10912021315979868
4.49445e-07,0.108902,0.10919946700842717
4.49925e-07,0.109061,0.10927868455647552
4.50405e-07,0.109218,0.10935785602846297
4.50885e-07,0.10932,0.1094369720414091
4.51365e-07,0.109375,0.1095160233988564
4.51845e-07,0.109506,0.10959500137000634
4.52325e-07,0.109821,0.10967389746250618
4.52805e-07,0.110272,0.10975270372328666
4.53285e-07,0.110718,0.10983141248777015
4.53765e-07,0.111114,0.109910016702375
4.54245e-07,0.111532,0.1099885096480538
4.54725e-07,0.111988,0.11006688528415448
4.55206e-07,0.112351,0.11014513794448788
4.55686e-07,0.112504,0.11022326270199209
4.56166e-07,0.112502,0.11030125503585421
4.56646e-07,0.112483,0.11037911121621521
4.57126e-07,0.112458,0.11045682794122932
4.57606e-07,0.112341,0.11053440274087377
4.58086e-07,0.11216,0.11061183358321602
4.58566e-07,0.112088,0.11068911929625723
4.59046e-07,0.112219,0.11076625914308758
4.59526e-07,0.112454,0.11084325326059415
4.60006e-07,0.112713,0.1109201022036122
4.60486e-07,0.113084,0.11099680739926615
4.60966e-07,0.113643,0.11107337066066235
4.61446e-07,0.114257,0.11114979465560487
4.61926e-07,0.114755,0.11122608239081604
4.62406e-07,0.115171,0.11130223769377327
4.62886e-07,0.115599,0.11137826466887918
4.63366e-07,0.115942,0.1114541681911987
4.63846e-07,0.116049,0.11152995333642281
4.64326e-07,0.115996,0.11160562588534217
4.64806e-07,0.115951,0.1116811917298488
4.65287e-07,0.115884,0.11175665738705885
4.65767e-07,0.115691,0.1118320293839668
4.66247e-07,0.11549,0.1119073147802205
4.66727e-07,0.115457,0.11198252053437412
4.67207e-07,0.115528,0.11205765403441828
4.67687e-07,0.115555,0.11213272244886399
4.68167e-07,0.11562,0.11220773326423304
4.68647e-07,0.115824,0.11228269362443871
4.69127e-07,0.115997,0.11235761087454238
4.69607e-07,0.115968,0.11243249189207141
4.70087e-07,0.115858,0.11250734363644105
4.70567e-07,0.115733,0.11258217247596167
4.71047e-07,0.115396,0.11265698474240582
4.71527e-07,0.114819,0.11273178605750202
4.72007e-07,0.114234,0.11280658189219105
4.72487e-07,0.113659,0.11288137689637959
4.72967e-07,0.112949,0.112956175462474
4.73447e-07,0.112231,0.11303098106207372
4.73927e-07,0.111713,0.11310579681339171
4.74407e-07,0.111279,0.11318062482840593
4.74887e-07,0.110809,0.113255466783771
4.75368e-07,0.110495,0.1133303232817193
4.75848e-07,0.110359,0.1134051944240369
4.76328e-07,0.110137,0.11348007918971731
4.76808e-07,0.109861,0.1135549760115174
4.77288e-07,0.109697,0.11362988217302168
4.77768e-07,0.109452,0.11370479438721123
4.78248e-07,0.109008,0.11377970821520263
4.78728e-07,0.108585,0.11385461864615593
4.79208e-07,0.108203,0.11392951953951806
4.79688e-07,0.107661,0.11400440420546851
4.80168e-07,0.107135,0.11407926487203109
4.80648e-07,0.10683,0.11415409326511129
4.81128e-07,0.10654,0.1142288801013535
4.81608e-07,0.10631,0.11430361566666714
4.82088e-07,0.106375,0.11437828933520876
4.82568e-07,0.106607,0.11445289014513037
4.83048e-07,0.10687,0.11452740634356892
4.83528e-07,0.107381,0.11460182595818541
4.84008e-07,0.108074,0.11467613636755915
4.84488e-07,0.108715,0.11475032486692645
4.84968e-07,0.109453,0.11482437826291539
4.85449e-07,0.110295,0.1148982834317443
4.85929e-07,0.110945,0.11497202693680475
4.86409e-07,0.111513,0.11504559557744971
4.86889e-07,0.112123,0.11511897602754788
4.87369e-07,0.112524,0.11519215537288506
4.87849e-07,0.112801,0.11526512076848143
4.88329e-07,0.113186,0.11533785996255315
4.88809e-07,0.113486,0.11541036097011322
4.89289e-07,0.113753,0.11548261258139854
4.89769e-07,0.114261,0.11555460404907156
4.90249e-07,0.114828,0.11562632557901548
4.90729e-07,0.115437,0.1156977680283226
4.91209e-07,0.116338,0.11576892337640053
4.91689e-07,0.117313,0.11583978443087735
4.92169e-07,0.118273,0.11591034527704648
4.92649e-07,0.119433,0.11598060098884082
4.93129e-07,0.120545,0.11605054805477438
4.93609e-07,0.121495,0.1161201840912362
4.94089e-07,0.122497,0.11618950824326328
4.94569e-07,0.123306,0.11625852089757893
4.9505e-07,0.123854,0.11632722405675183
4.9553e-07,0.124387,0.11639562104964857
4.9601e-07,0.124687,0.11646371687779487
4.9649e-07,0.124768,0.1165315179212234
4.9697e-07,0.124908,0.1165990322561515
4.9745e-07,0.12489,0.11666626935457465
4.9793e-07,0.124807,0.11673324037270526
4.9841e-07,0.1249,0.11679995784308245
4.9889e-07,0.124915,0.116866435933571
4.9937e-07,0.124985,0.11693269013121868
4.9985e-07,0.12525,0.11699873747198743
5.0033e-07,0.125396,0.11706459621607962
5.0081e-07,0.125599,0.11713028604895584
5.0129e-07,0.125866,0.1171958277483603
5.0177e-07,0.12588,0.11726124335756223
5.0225e-07,0.125897,0.117326555844826
5.0273e-07,0.12579,0.11739178925018759
5.0321e-07,0.125357,0.11745696833862462
5.0369e-07,0.124931,0.11752211872203595
