lambda,signal,smoothed_signal_tv_0.5_1000
4e-07,0.268643,0.2629097737242772
4.0048e-07,0.268332,0.2629068175977481
4.0096e-07,0.26808,0.2629009078090473
4.0144e-07,0.267762,0.2628920492757094
4.0192e-07,0.267495,0.2628802494126385
4.024e-07,0.267495,0.26286551804598673
4.0288e-07,0.267757,0.2628478675015363
4.0336e-07,0.26801,0.2628273124611911
4.0384e-07,0.268021,0.2628038700957287
4.0432e-07,0.267848,0.26277755986401613
4.048e-07,0.267708,0.26274840369042196
4.05281e-07,0.267665,0.26271642570688203
4.05761e-07,0.267572,0.26268165247538056
4.06241e-07,0.267322,0.26264411267299137
4.06721e-07,0.267023,0.2626038373599605
4.07201e-07,0.266878,0.26256085960783154
4.07681e-07,0.266955,0.2625152148137914
4.08161e-07,0.267108,0.2624669402719551
4.08641e-07,0.267144,0.26241607553476376
4.09121e-07,0.267075,0.26236266192746077
4.09601e-07,0.267101,0.262306742957454
4.10081e-07,0.267262,0.26224836377195837
4.10561e-07,0.267276,0.2621875716163533
4.11041e-07,0.26695,0.2621244152349
4.11521e-07,0.266564,0.26205894537923335
4.12001e-07,0.26644,0.26199121415198806
4.12481e-07,0.266356,0.2619212755666644
4.12961e-07,0.26594,0.2618491848339135
4.13441e-07,0.265423,0.2617749989741031
4.13921e-07,0.265255,0.26169877604592745
4.14401e-07,0.26521,0.2616205758130706
4.14881e-07,0.264794,0.26154045891471744
4.15362e-07,0.26421,0.26145848758776963
4.15842e-07,0.263933,0.26137472477874607
4.16322e-07,0.263731,0.2612892349230448
4.16802e-07,0.263162,0.2612020829976369
4.17282e-07,0.262484,0.2611133353588912
4.17762e-07,0.262118,0.26102305873538306
4.18242e-07,0.261834,0.2609313211258035
4.18722e-07,0.261316,0.26083819073113274
4.19202e-07,0.260792,0.2607437369141408
4.19682e-07,0.260523,0.2606480290701143
4.20162e-07,0.260312,0.2605511376494216
4.20642e-07,0.259909,0.26045313296593464
4.21122e-07,0.259448,0.2603540862840802
4.21602e-07,0.25917,0.26025406856406624
4.22082e-07,0.258949,0.26015315161477137
4.22562e-07,0.258501,0.260051406774873
4.23042e-07,0.258019,0.2599489061328384
4.23522e-07,0.257842,0.2598457211430633
4.24002e-07,0.25768,0.259741923914119
4.24482e-07,0.257247,0.2596375857590473
4.24962e-07,0.256982,0.25953277855289175
4.25443e-07,0.257012,0.25942757321635973
4.25923e-07,0.256773,0.2593220411435198
