n_feats,comb,mse
6,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_587_344', 'abs_wv_573_34', 'abs_wv_562_967')",9.946774380222069
7,"('abs_wv_687_967', 'abs_wv_573_34', 'abs_wv_727_386', 'abs_wv_562_967', 'abs_wv_555_187', 'abs_wv_552_075', 'abs_wv_744_502')",0.1261134493195656
7,"('abs_wv_687_967', 'abs_wv_573_34', 'abs_wv_727_386', 'abs_wv_562_967', 'abs_wv_558_817', 'abs_wv_552_075', 'abs_wv_744_502')",0.27024484893430384
7,"('abs_wv_687_967', 'abs_wv_573_34', 'abs_wv_727_386', 'abs_wv_562_967', 'abs_wv_558_817', 'abs_wv_555_187', 'abs_wv_744_502')",0.3708052215097543
7,"('abs_wv_687_967', 'abs_wv_573_34', 'abs_wv_727_386', 'abs_wv_558_817', 'abs_wv_555_187', 'abs_wv_552_075', 'abs_wv_744_502')",0.46720595178245533
7,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_609_129', 'abs_wv_596_162', 'abs_wv_573_34', 'abs_wv_562_967')",0.5205601598561183
7,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_587_344', 'abs_wv_573_34', 'abs_wv_558_817', 'abs_wv_744_502')",0.7194118982184489
7,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_609_129', 'abs_wv_587_344', 'abs_wv_573_34', 'abs_wv_562_967')",0.7727878775188338
7,"('abs_wv_609_129', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_727_386', 'abs_wv_558_817', 'abs_wv_555_187', 'abs_wv_744_502')",1.0182342337930423
7,"('abs_wv_687_967', 'abs_wv_596_162', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_562_967', 'abs_wv_555_187', 'abs_wv_744_502')",1.053830542183058
7,"('abs_wv_609_129', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_727_386', 'abs_wv_558_817', 'abs_wv_552_075', 'abs_wv_744_502')",1.2069429300599606
8,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_596_162', 'abs_wv_587_344', 'abs_wv_573_34', 'abs_wv_562_967', 'abs_wv_552_075')",5.826029992368333e-10
8,"('abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_567_635', 'abs_wv_727_386', 'abs_wv_562_967', 'abs_wv_558_817', 'abs_wv_555_187', 'abs_wv_744_502')",2.748754962993277e-06
8,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_609_129', 'abs_wv_587_344', 'abs_wv_573_34', 'abs_wv_562_967', 'abs_wv_558_817')",2.1165402440136745e-05
8,"('abs_wv_652_178', 'abs_wv_687_967', 'abs_wv_609_129', 'abs_wv_596_162', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_727_386', 'abs_wv_562_967')",0.00013739017507981868
8,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_596_162', 'abs_wv_587_344', 'abs_wv_573_34', 'abs_wv_562_967', 'abs_wv_744_502')",0.0003853316014641025
8,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_687_967', 'abs_wv_596_162', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_573_34', 'abs_wv_567_635')",0.0005474151776412272
8,"('abs_wv_652_178', 'abs_wv_627_801', 'abs_wv_596_162', 'abs_wv_580_083', 'abs_wv_573_34', 'abs_wv_558_817', 'abs_wv_552_075', 'abs_wv_744_502')",0.000584972893238788
8,"('abs_wv_652_178', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_567_635', 'abs_wv_727_386', 'abs_wv_562_967', 'abs_wv_555_187', 'abs_wv_744_502')",0.000854952641202235
8,"('abs_wv_652_178', 'abs_wv_687_967', 'abs_wv_567_635', 'abs_wv_727_386', 'abs_wv_562_967', 'abs_wv_555_187', 'abs_wv_552_075', 'abs_wv_744_502')",0.0009021727609486527
8,"('abs_wv_652_178', 'abs_wv_609_129', 'abs_wv_587_344', 'abs_wv_580_083', 'abs_wv_573_34', 'abs_wv_562_967', 'abs_wv_555_187', 'abs_wv_744_502')",0.0012324195057451135
