lambda	signal	optima_preserving_denoising
4e-07	0.0698376	0.06899145876308647
4.0096e-07	0.0690237	0.0687215437758314
4.0192e-07	0.068254	0.06820470721844432
4.0288e-07	0.0675882	0.06755080822757976
4.0384e-07	0.0668125	0.06684538559617054
4.048e-07	0.0660852	0.06614809195722371
4.05761e-07	0.0654329	0.06548302560288975
4.06721e-07	0.0647785	0.0648460765208199
4.07681e-07	0.0642028	0.06423574709576367
4.08641e-07	0.0637055	0.06358293847788817
4.09601e-07	0.0631301	0.06287166166234955
4.10561e-07	0.0622902	0.06197283836595024
4.11521e-07	0.0616147	0.06091985685285132
4.12481e-07	0.0587891	0.0595064884101683
4.13441e-07	0.05809	0.058457826525991234
4.14401e-07	0.0574526	0.05757063318021589
4.15362e-07	0.0567676	0.05682262553970109
4.16322e-07	0.05612	0.05613232753914708
4.17282e-07	0.0554554	0.055496059855615794
4.18242e-07	0.0548084	0.0548870854163073
4.19202e-07	0.054256	0.054310368858038936
4.20162e-07	0.0537532	0.05376154008380022
4.21122e-07	0.0532265	0.053233465042437395
4.22082e-07	0.0526793	0.052727602777900576
4.23042e-07	0.0521658	0.05225390199584652
4.24002e-07	0.0517272	0.05182106862310736
4.24962e-07	0.0513636	0.051429728936393776
4.25923e-07	0.0510427	0.0510735262236604
4.26883e-07	0.0507284	0.05074505766122403
4.27843e-07	0.0504069	0.050441312535834615
4.28803e-07	0.0500962	0.05016562099210414
4.29763e-07	0.0498312	0.04992358162714507
4.30723e-07	0.0496356	0.049716840824297476
4.31683e-07	0.0495001	0.04953967279150876
4.32643e-07	0.0493873	0.049380542395324536
4.33603e-07	0.0492591	0.04922585778038094
4.34563e-07	0.0491007	0.04906324706707013
4.35524e-07	0.0489208	0.04888291663481329
4.36484e-07	0.0487293	0.04867676586079533
4.37444e-07	0.0485159	0.048436838817008096
4.38404e-07	0.0482553	0.04815484098260016
4.39364e-07	0.0479286	0.0478245583553509
4.40324e-07	0.0475276	0.04744338270889347
4.41284e-07	0.0470624	0.04701849286146394
4.42244e-07	0.0465784	0.04655788196853737
4.43204e-07	0.0461131	0.046076073811689
4.44164e-07	0.0455922	0.04557498714428525
4.45125e-07	0.0450605	0.04506318888033541
4.46085e-07	0.0445561	0.04455558028628793
4.47045e-07	0.044021	0.04405405061863425
4.48005e-07	0.0435108	0.04359515870032488
4.48965e-07	0.0429986	0.043181582051558254
4.49925e-07	0.0426925	0.04284368882955351
4.50885e-07	0.0424835	0.042568825275693035
4.51845e-07	0.0423163	0.042326668272546566
4.52805e-07	0.0421756	0.042140114865909385
4.53765e-07	0.0418459	0.04195655425484756
4.54725e-07	0.0416987	0.04182523261301172
4.55686e-07	0.0416753	0.041723052232429676
4.56646e-07	0.0415921	0.04164293609650112
4.57606e-07	0.0415827	0.04158889935791702
4.58566e-07	0.0415769	0.04152658423145081
4.59526e-07	0.0415316	0.041427967079318326
4.60486e-07	0.0414776	0.04129833406685495
4.61446e-07	0.0412527	0.0410706625414613
4.62406e-07	0.0409585	0.040786436363853804
4.63366e-07	0.0404895	0.040408564501212545
4.64326e-07	0.0400005	0.03999372137198955
4.65287e-07	0.0395019	0.039564407100500604
4.66247e-07	0.0390476	0.039147346540639706
4.67207e-07	0.0387217	0.03877559921703419
4.68167e-07	0.0383725	0.03841415965113954
4.69127e-07	0.0381117	0.038089855486711004
4.70087e-07	0.0377671	0.03775897748429377
4.71047e-07	0.0374254	0.03743862084226956
4.72007e-07	0.0371256	0.03712580144304938
4.72967e-07	0.0367656	0.03682601272392474
4.73927e-07	0.0364688	0.036565847658306026
4.74887e-07	0.0362395	0.03636125093277041
4.75848e-07	0.03603	0.036234154235611625
4.76808e-07	0.0359517	0.036200613936121916
4.77768e-07	0.0360433	0.03626010343542172
4.78728e-07	0.0362427	0.0364102229303848
4.79688e-07	0.0365511	0.03662558895138923
4.80648e-07	0.0369574	0.036851024131318875
4.81608e-07	0.0373158	0.037020308889358304
4.82568e-07	0.0374452	0.037092330624705155
4.83528e-07	0.037303	0.03706695270775281
4.84488e-07	0.0370047	0.03696403183033153
4.85449e-07	0.0367052	0.036837777519121366
4.86409e-07	0.0365034	0.03675967727045638
4.87369e-07	0.0364496	0.03677632235854913
4.88329e-07	0.0365894	0.03691109717801945
4.89289e-07	0.0369584	0.03716837195525099
4.90249e-07	0.0375089	0.03750326962992823
4.91209e-07	0.0380751	0.037817990333726764
4.92169e-07	0.0384537	0.03801511919535953
4.93129e-07	0.0385136	0.038045984632589035
4.94089e-07	0.0382773	0.03790507339239529
4.9505e-07	0.0378262	0.03756769681645053
4.9601e-07	0.0372432	0.03706309889327043
4.9697e-07	0.0365199	0.036450689587124954
4.9793e-07	0.0357073	0.03582936389467839
4.9889e-07	0.034921	0.03532546960562299
4.9985e-07	0.0343996	0.03505711172920118
5.0081e-07	0.0344282	0.035010207293754474
5.0177e-07	0.0348557	0.03521989877799407
5.0273e-07	0.0352669	0.03562868457423822
5.0369e-07	0.0362011	0.0362219038147952
5.0465e-07	0.0371447	0.03677415245190228
5.05611e-07	0.0377893	0.03711063293130446
5.06571e-07	0.0379672	0.0371499576114394
5.07531e-07	0.0376027	0.036897073559621914
5.08491e-07	0.0367188	0.03627187169901767
5.09451e-07	0.0354498	0.03532468008480634
5.10411e-07	0.0340452	0.034291002699495005
5.11371e-07	0.0328332	0.03349395614896934
5.12331e-07	0.0321336	0.033130406933634504
5.13291e-07	0.0321448	0.03315533178741616
5.14251e-07	0.0328823	0.033594331310782016
5.15212e-07	0.0341932	0.03452500557489084
5.16172e-07	0.0358018	0.03579098182622863
5.17132e-07	0.0373721	0.03707762550453927
5.18092e-07	0.0386293	0.038110434322259225
5.19052e-07	0.0394471	0.03875227796103158
5.20012e-07	0.0397943	0.03899611868989311
