lambda	signal	optima_preserving_denoising
4e-07	0.0787681	0.07834279562595581
4.0096e-07	0.0784456	0.07823497983897035
4.0192e-07	0.0781357	0.07801596499446926
4.0288e-07	0.0777795	0.07772033594663978
4.0384e-07	0.07743	0.07735945991269307
4.048e-07	0.0770568	0.07695575122938292
4.05761e-07	0.0766063	0.07650419083142017
4.06721e-07	0.0760864	0.07600729837509435
4.07681e-07	0.0755339	0.07546516866018017
4.08641e-07	0.0749577	0.07487949878685607
4.09601e-07	0.074339	0.07424988443831446
4.10561e-07	0.0736506	0.07357821672535486
4.11521e-07	0.0729042	0.07287428492110834
4.12481e-07	0.0721286	0.07215842094712736
4.13441e-07	0.0713815	0.07145669616975
4.14401e-07	0.0706865	0.07079092607609735
4.15362e-07	0.0700752	0.07017461775004608
4.16322e-07	0.069531	0.06961141375606685
4.17282e-07	0.0689874	0.069091266495142
4.18242e-07	0.0685144	0.06860513784160023
4.19202e-07	0.068171	0.06812745813560774
4.20162e-07	0.0677965	0.06761502063856488
4.21122e-07	0.0674334	0.06704976372975119
4.22082e-07	0.0666563	0.06637835986850074
4.23042e-07	0.0649728	0.06566744344086707
4.24002e-07	0.0648671	0.06509812628510321
4.24962e-07	0.0645767	0.06464282630753289
4.25923e-07	0.0641967	0.06420098429058492
4.26883e-07	0.0638824	0.0638132039678503
4.27843e-07	0.0635011	0.06339461464518147
4.28803e-07	0.0630027	0.06296085680925874
4.29763e-07	0.0625696	0.0624934883801181
4.30723e-07	0.062004	0.06200810088660756
4.31683e-07	0.0614754	0.061519592864927836
4.32643e-07	0.0609848	0.06104778579031611
4.33603e-07	0.0605009	0.06060979367201558
4.34563e-07	0.0601378	0.06020614926674254
4.35524e-07	0.0597452	0.059854890505135594
4.36484e-07	0.0594582	0.05954344060306433
4.37444e-07	0.0591578	0.05928886163698256
4.38404e-07	0.0589413	0.059091369684214995
4.39364e-07	0.0588137	0.05893685402753919
4.40324e-07	0.0586993	0.058856267881999665
4.41284e-07	0.0587416	0.05879026708650214
4.42244e-07	0.058718	0.05879011206294089
4.43204e-07	0.0587447	0.05879877630126532
4.44164e-07	0.058815	0.058842783127263217
4.45125e-07	0.0588306	0.05890546867607818
4.46085e-07	0.058924	0.05897832713960002
4.47045e-07	0.0590937	0.059058504943330536
4.48005e-07	0.0592139	0.059126902139461916
4.48965e-07	0.0592712	0.059174333563939634
4.49925e-07	0.0592952	0.05919381279143023
4.50885e-07	0.0592704	0.0591837793629209
4.51845e-07	0.0591916	0.05914535821729766
4.52805e-07	0.0590966	0.05908213806362873
4.53765e-07	0.0590209	0.058994904732264195
4.54725e-07	0.0589559	0.058880470211539714
4.55686e-07	0.0588648	0.0587317962704278
4.56646e-07	0.0586994	0.05853784793258926
4.57606e-07	0.0584283	0.058296908555166956
4.58566e-07	0.0580786	0.05800997765595512
4.59526e-07	0.0576825	0.057701722181203084
4.60486e-07	0.0573171	0.05738521213466013
4.61446e-07	0.0569848	0.05708844342536529
4.62406e-07	0.0567543	0.05679303876074266
4.63366e-07	0.0565464	0.0564961633198084
4.64326e-07	0.0564011	0.05614084851626606
4.65287e-07	0.0560648	0.05569636143410274
4.66247e-07	0.0554539	0.05509566377751133
4.67207e-07	0.0547406	0.054349201006425416
4.68167e-07	0.0536615	0.05347044924407754
4.69127e-07	0.0512957	0.052669734506922604
4.70087e-07	0.0514315	0.0522478193224388
4.71047e-07	0.0516953	0.0521451658275511
4.72007e-07	0.0520432	0.052056311453771695
4.72967e-07	0.0523587	0.05211904226535307
4.73927e-07	0.0525177	0.05210656258188188
4.74887e-07	0.0524433	0.052038165444848156
4.75848e-07	0.0521304	0.05185810191432093
4.76808e-07	0.0516391	0.05159369414397845
4.77768e-07	0.0511015	0.05131719535338131
4.78728e-07	0.0507092	0.05111130441661918
4.79688e-07	0.0505838	0.05101489958272526
4.80648e-07	0.0506887	0.051013485790016376
4.81608e-07	0.0509886	0.05108514457457744
4.82568e-07	0.0514077	0.051165813704802554
4.83528e-07	0.0516441	0.05117344805879629
4.84488e-07	0.0516171	0.05107176210990735
4.85449e-07	0.0513328	0.05079518260902138
4.86409e-07	0.0506211	0.05033025219609459
4.87369e-07	0.0497636	0.049725913390013934
4.88329e-07	0.0488062	0.04912897360167662
4.89289e-07	0.0480603	0.04870798174512403
4.90249e-07	0.0477548	0.048518862347174306
4.91209e-07	0.0478722	0.048541204016013084
4.92169e-07	0.0484427	0.04874153191152983
4.93129e-07	0.0491126	0.0490878113721781
4.94089e-07	0.0498193	0.04940878096074673
4.9505e-07	0.0502224	0.04958954617344973
4.9601e-07	0.0503276	0.04956619981498156
4.9697e-07	0.0499642	0.049345985023436505
4.9793e-07	0.0492094	0.04887761718758398
4.9889e-07	0.0482156	0.04825222580801078
4.9985e-07	0.04718	0.04767163735793858
5.0081e-07	0.046536	0.047320783788460365
5.0177e-07	0.0463281	0.04723915424226417
5.0273e-07	0.0467271	0.047375161153569385
5.0369e-07	0.0475103	0.047776079344883614
5.0465e-07	0.0483793	0.04835693229895002
5.05611e-07	0.0492155	0.04897240174948068
5.06571e-07	0.0498135	0.049490841929697146
5.07531e-07	0.0502167	0.049848776069167315
