lambda	signal	smoothed_signal	increasing	local optima
8.93489e-07	0.230613	0.2333519775021048		
8.93969e-07	0.22792	0.23137076566969433		
8.94449e-07	0.225548	0.2298311928753754		
8.94929e-07	0.223623	0.22869863120281053		
8.9541e-07	0.222234	0.2279167374400631		
8.9589e-07	0.221192	0.2274217073101128		
8.9637e-07	0.220726	0.227156048426493		
8.9685e-07	0.220667	0.22706939478562727		
8.9733e-07	0.220993	0.22713024869551923		
8.9781e-07	0.221839	0.2273699027235461		
8.9829e-07	0.222932	0.22783214925586728		
8.9877e-07	0.22442	0.22856082377693587		
8.9925e-07	0.226252	0.22959070109587434		
8.9973e-07	0.22822	0.23093701342025408		
9.0021e-07	0.230541	0.23260051292200157		
9.0069e-07	0.233003	0.2345527637408465		
9.0117e-07	0.235552	0.2367527704734874		
9.0165e-07	0.238364	0.23916257173244973		
9.0213e-07	0.241148	0.2417230426853163		
9.0261e-07	0.24401	0.24439663532964284		
9.0309e-07	0.247015	0.2471497184440817		
9.0357e-07	0.24988	0.2499331313961834		
9.0405e-07	0.252831	0.25273247611868693		
9.0453e-07	0.255796	0.25551894487370463		
9.05011e-07	0.258561	0.2582592269983953		
9.05491e-07	0.261429	0.26095269920782316		
9.05971e-07	0.26417	0.2635702470162108		
9.06451e-07	0.266713	0.26609553901034044		
9.06931e-07	0.269363	0.2685314220341064		
9.07411e-07	0.271746	0.27085084911842267		
9.07891e-07	0.274	0.2730526329035064		
9.08371e-07	0.27632	0.2751367852599008		
9.08851e-07	0.278263	0.2770840349406976		
9.09331e-07	0.2802	0.27890304372754227		
