lambda	signal	optima_preserving_denoising
4e-07	0.106123	0.10452822783887362
4.0048e-07	0.10538	0.10449784738342548
4.0096e-07	0.10475	0.1044361916168826
4.0144e-07	0.104386	0.10434356787397092
4.0192e-07	0.104346	0.10422100637334138
4.024e-07	0.104575	0.10406901793111813
4.0288e-07	0.104931	0.10388728927038629
4.0336e-07	0.105224	0.10367423074962999
4.0384e-07	0.105278	0.10342774125706591
4.0432e-07	0.10498	0.10314606335189982
4.048e-07	0.104311	0.10282953137462644
4.05281e-07	0.10335	0.10248213298774529
4.05761e-07	0.102247	0.10211228624182035
4.06241e-07	0.101181	0.1017316934934972
4.06721e-07	0.100312	0.10135260789583525
4.07201e-07	0.099741	0.10098504020157517
4.07681e-07	0.0994877	0.10063545779504546
4.08161e-07	0.0994859	0.10030718968653633
4.08641e-07	0.0996066	0.10000181817484925
4.09121e-07	0.0996964	0.099720725171068
4.09601e-07	0.0996204	0.09946632176117091
4.10081e-07	0.0992988	0.09924271296865955
4.10561e-07	0.0987276	0.099055563428128
4.11041e-07	0.0979821	0.0989110342373998
4.11521e-07	0.0971992	0.09881403663789717
4.12001e-07	0.0965371	0.09876670227457504
4.12481e-07	0.0961238	0.09876778192020383
4.12961e-07	0.0960335	0.09881484806198296
4.13441e-07	0.0963012	0.09891354601250706
4.13921e-07	0.0968903	0.09906891455442945
4.14401e-07	0.0976649	0.09928366887893426
4.14881e-07	0.0985275	0.09955705778961456
4.15362e-07	0.0993428	0.09988450892454044
4.15842e-07	0.100028	0.10025888115311875
4.16322e-07	0.100539	0.10067238673998924
4.16802e-07	0.100894	0.10111837748695705
4.17282e-07	0.101163	0.10159213808233047
4.17762e-07	0.101443	0.10209060182100901
4.18242e-07	0.101833	0.10261131363591806
4.18722e-07	0.102407	0.10315097255965655
4.19202e-07	0.103192	0.10370395873892312
4.19682e-07	0.104161	0.10426143912716622
4.20162e-07	0.105237	0.1048116826852524
4.20642e-07	0.106311	0.10534187439654019
4.21122e-07	0.107266	0.10584078722472276
4.21602e-07	0.108006	0.10630099759232334
4.22082e-07	0.108475	0.1067195957557569
4.22562e-07	0.108672	0.10709744841200079
4.23042e-07	0.108647	0.10743771937766437
4.23522e-07	0.108491	0.10774441720877878
4.24002e-07	0.108316	0.10802129478814182
4.24482e-07	0.108227	0.10827114848949516
4.24962e-07	0.108301	0.10849546752428532
4.25443e-07	0.108567	0.10869438467446657
4.25923e-07	0.108998	0.10886693563721295
4.26403e-07	0.109522	0.10901162913692165
4.26883e-07	0.110042	0.10912713650392465
4.27363e-07	0.110463	0.10921288121847453
4.27843e-07	0.110717	0.10926923308261152
4.28323e-07	0.110777	0.10929737871577865
4.28803e-07	0.110656	0.10929890533532784
4.29283e-07	0.110397	0.10927379833433873
4.29763e-07	0.110051	0.10922121195872428
4.30243e-07	0.109671	0.10914106565995008
4.30723e-07	0.109298	0.10903402023245747
4.31203e-07	0.108971	0.10890138494664543
4.31683e-07	0.108727	0.10874482511684594
4.32163e-07	0.108598	0.10856602903438485
4.32643e-07	0.108592	0.10836633012434828
4.33123e-07	0.108674	0.10814645614578225
4.33603e-07	0.108764	0.10790650728194329
4.34083e-07	0.108754	0.10764628100706704
4.34563e-07	0.108551	0.10736596594468309
4.35044e-07	0.108121	0.10706707896613286
4.35524e-07	0.107503	0.10675327100753809
4.36004e-07	0.10678	0.10643054172569054
4.36484e-07	0.106036	0.10610668304715394
4.36964e-07	0.105318	0.10579022951228914
4.37444e-07	0.104645	0.10548948406624832
4.37924e-07	0.104036	0.10521180798443314
4.38404e-07	0.103542	0.10496309827257617
4.38884e-07	0.10323	0.10474736736547152
4.39364e-07	0.103132	0.10456668878920088
4.39844e-07	0.103205	0.10442165900217487
4.40324e-07	0.103345	0.10431217598360626
4.40804e-07	0.103449	0.10423801495796094
4.41284e-07	0.103479	0.10419901677588048
4.41764e-07	0.103467	0.10419481179347372
4.42244e-07	0.103456	0.1042254875122988
4.42724e-07	0.103449	0.10429172887575323
