lambda	signal	optima_preserving_denoising
4e-07	0.249884	0.24805860258743942
4.0048e-07	0.249037	0.24803502348064618
4.0096e-07	0.248541	0.24798812550042115
4.0144e-07	0.24835	0.24792007810625225
4.0192e-07	0.248341	0.24783430237077433
4.024e-07	0.248357	0.24773492554254758
4.0288e-07	0.248256	0.24762685929088543
4.0336e-07	0.247945	0.24751586997428154
4.0384e-07	0.247414	0.2474087630256606
4.0432e-07	0.246724	0.24731273121076466
4.048e-07	0.246004	0.2472345534137268
4.05281e-07	0.245404	0.2471789779048986
4.05761e-07	0.245056	0.2471486307809581
4.06241e-07	0.245037	0.24714322821541734
4.06721e-07	0.245347	0.24716303885987717
4.07201e-07	0.245916	0.24720876631208108
4.07681e-07	0.246619	0.24728004135962925
4.08161e-07	0.247306	0.24737293317431716
4.08641e-07	0.247831	0.24748269357156497
4.09121e-07	0.248098	0.24760206202219884
4.09601e-07	0.248103	0.2477262662420173
4.10081e-07	0.247969	0.24784820029047372
4.10561e-07	0.247924	0.24796602238398677
4.11041e-07	0.248163	0.24807186890367436
4.11521e-07	0.248631	0.24816637257276608
4.12001e-07	0.248972	0.24823950076845736
4.12481e-07	0.249056	0.24829791299693632
4.12961e-07	0.249666	0.24833058027613744
4.13441e-07	0.251215	0.2483511866772041
4.13921e-07	0.250811	0.24834708097176653
4.14401e-07	0.250851	0.24833390543740866
4.14881e-07	0.246692	0.24829689292910825
4.15362e-07	0.246518	0.24826019014552966
4.15842e-07	0.246756	0.2481981383732647
4.16322e-07	0.246966	0.24816022410321834
4.16802e-07	0.247154	0.2480716432288554
4.17282e-07	0.247364	0.24804256425830792
4.17762e-07	0.247625	0.24792617335667982
4.18242e-07	0.24794	0.24789520256110859
4.18722e-07	0.248282	0.24775967565840037
4.19202e-07	0.248602	0.2476975478826729
4.19682e-07	0.24884	0.247549067020773
4.20162e-07	0.248938	0.24743100296219664
4.20642e-07	0.248856	0.24725610726660133
4.21122e-07	0.24858	0.24707266090132282
4.21602e-07	0.248127	0.24684918234311132
4.22082e-07	0.247542	0.24659971135222447
4.22562e-07	0.246892	0.24631836263558315
4.23042e-07	0.246244	0.24601128316746518
4.23522e-07	0.245658	0.2456814118375639
4.24002e-07	0.24517	0.24533396390470608
4.24482e-07	0.244792	0.24497297597638418
4.24962e-07	0.244509	0.2446019683692304
4.25443e-07	0.244282	0.2442234424056734
4.25923e-07	0.244061	0.2438393969541916
4.26403e-07	0.243794	0.24345176523366624
4.26883e-07	0.243441	0.24306306039988282
4.27363e-07	0.242981	0.24267690220266153
4.27843e-07	0.242417	0.2422983633904914
4.28323e-07	0.241775	0.2419339468156721
4.28803e-07	0.241099	0.24159112512924016
4.29283e-07	0.240439	0.24127750842127665
4.29763e-07	0.239844	0.240999918285659
4.30243e-07	0.239353	0.2407636530655601
4.30723e-07	0.238993	0.2405721511830183
4.31203e-07	0.238776	0.24042705280665655
4.31683e-07	0.238695	0.24032852478207267
4.32163e-07	0.238732	0.24027569555000416
4.32643e-07	0.238854	0.24026700172579668
4.33123e-07	0.239024	0.24030250770124822
4.33603e-07	0.239211	0.2403843504119302
4.34083e-07	0.239394	0.2405135173909997
4.34563e-07	0.239571	0.2406899732254812
4.35044e-07	0.239759	0.24091284972333182
4.35524e-07	0.239991	0.24118053101431017
4.36004e-07	0.240305	0.24149051107347128
4.36484e-07	0.24073	0.24183895927575522
4.36964e-07	0.241279	0.24222010003911468
4.37444e-07	0.241945	0.24262559720069293
4.37924e-07	0.242703	0.24304423714879114
4.38404e-07	0.243518	0.2434621793898041
4.38884e-07	0.244351	0.24386386067968838
4.39364e-07	0.245165	0.24423343064222794
4.39844e-07	0.24592	0.24455638460152201
4.40324e-07	0.246576	0.24482105865958997
4.40804e-07	0.247104	0.24501959263686926
4.41284e-07	0.247491	0.24514813015999318
4.41764e-07	0.247743	0.24520641914091557
4.42244e-07	0.247876	0.24519753782601458
4.42724e-07	0.247891	0.24512109977192162
4.43204e-07	0.24776	0.24496834660340866
4.43684e-07	0.247439	0.24473075118821694
4.44164e-07	0.246899	0.2444008284873994
4.44644e-07	0.246158	0.24397356677695012
4.45125e-07	0.245278	0.24344792634631895
4.45605e-07	0.244324	0.2428274716153057
4.46085e-07	0.243321	0.24211977457215036
4.46565e-07	0.242244	0.24133549370999796
4.47045e-07	0.241067	0.24048839417406911
4.47525e-07	0.239812	0.2395958221210042
4.48005e-07	0.238559	0.23867789057353023
4.48485e-07	0.23739	0.23775448558392415
4.48965e-07	0.236334	0.23684215333220923
4.49445e-07	0.235353	0.23595325492245353
4.49925e-07	0.234397	0.2350976294649326
4.50405e-07	0.233447	0.23428446294255875
4.50885e-07	0.232531	0.2335229186831786
4.51365e-07	0.23168	0.23282141115064597
4.51845e-07	0.230905	0.23218698013859326
4.52325e-07	0.2302	0.23162523220280262
4.52805e-07	0.229564	0.23114052606921542
4.53285e-07	0.229002	0.23073592283652405
4.53765e-07	0.228513	0.2304130080448485
4.54245e-07	0.2281	0.23017178602053756
4.54725e-07	0.227792	0.23001057671354203
4.55206e-07	0.22763	0.22992596565698942
4.55686e-07	0.227616	0.2299130809084982
4.56166e-07	0.227695	0.22996930459179823
4.56646e-07	0.227819	0.2301002855317578
4.57126e-07	0.228018	0.2303115269473098
4.57606e-07	0.228368	0.23060796329906771
4.58086e-07	0.228894	0.23099333686893458
4.58566e-07	0.229543	0.23146921381082705
4.59046e-07	0.230261	0.23203469201815682
4.59526e-07	0.231077	0.23268684280890803
4.60006e-07	0.232056	0.23342013942534073
