

lambda(m), Y
4e-07, 0.0787681
4.0096e-07, 0.0784456
4.0192e-07, 0.0781357
4.0288e-07, 0.0777795
4.0384e-07, 0.07743
4.048e-07, 0.0770568
4.05761e-07, 0.0766063
4.06721e-07, 0.0760864
4.07681e-07, 0.0755339
4.08641e-07, 0.0749577
4.09601e-07, 0.074339
4.10561e-07, 0.0736506
4.11521e-07, 0.0729042
4.12481e-07, 0.0721286
4.13441e-07, 0.0713815
4.14401e-07, 0.0706865
4.15362e-07, 0.0700752
4.16322e-07, 0.069531
4.17282e-07, 0.0689874
4.18242e-07, 0.0685144
4.19202e-07, 0.068171
4.20162e-07, 0.0677965
4.21122e-07, 0.0674334
4.22082e-07, 0.0666563
4.23042e-07, 0.0649728
4.24002e-07, 0.0648671
4.24962e-07, 0.0645767
4.25923e-07, 0.0641967
4.26883e-07, 0.0638824
4.27843e-07, 0.0635011
4.28803e-07, 0.0630027
4.29763e-07, 0.0625696
4.30723e-07, 0.062004
4.31683e-07, 0.0614754
4.32643e-07, 0.0609848
4.33603e-07, 0.0605009
4.34563e-07, 0.0601378
4.35524e-07, 0.0597452
4.36484e-07, 0.0594582
4.37444e-07, 0.0591578
4.38404e-07, 0.0589413
4.39364e-07, 0.0588137
4.40324e-07, 0.0586993
4.41284e-07, 0.0587416
4.42244e-07, 0.058718
4.43204e-07, 0.0587447
4.44164e-07, 0.058815
4.45125e-07, 0.0588306
4.46085e-07, 0.058924
4.47045e-07, 0.0590937
4.48005e-07, 0.0592139
4.48965e-07, 0.0592712
4.49925e-07, 0.0592952
4.50885e-07, 0.0592704
4.51845e-07, 0.0591916
4.52805e-07, 0.0590966
4.53765e-07, 0.0590209
4.54725e-07, 0.0589559
4.55686e-07, 0.0588648
4.56646e-07, 0.0586994
4.57606e-07, 0.0584283
4.58566e-07, 0.0580786
4.59526e-07, 0.0576825
4.60486e-07, 0.0573171
4.61446e-07, 0.0569848
4.62406e-07, 0.0567543
4.63366e-07, 0.0565464
4.64326e-07, 0.0564011
4.65287e-07, 0.0560648
4.66247e-07, 0.0554539
4.67207e-07, 0.0547406
4.68167e-07, 0.0536615
4.69127e-07, 0.0512957
4.70087e-07, 0.0514315
4.71047e-07, 0.0516953
4.72007e-07, 0.0520432
4.72967e-07, 0.0523587
4.73927e-07, 0.0525177
4.74887e-07, 0.0524433
4.75848e-07, 0.0521304
4.76808e-07, 0.0516391
4.77768e-07, 0.0511015
4.78728e-07, 0.0507092
4.79688e-07, 0.0505838
4.80648e-07, 0.0506887
4.81608e-07, 0.0509886
4.82568e-07, 0.0514077
4.83528e-07, 0.0516441
4.84488e-07, 0.0516171
4.85449e-07, 0.0513328
4.86409e-07, 0.0506211
4.87369e-07, 0.0497636
4.88329e-07, 0.0488062
4.89289e-07, 0.0480603
4.90249e-07, 0.0477548
4.91209e-07, 0.0478722
4.92169e-07, 0.0484427
4.93129e-07, 0.0491126
4.94089e-07, 0.0498193
4.9505e-07, 0.0502224
4.9601e-07, 0.0503276
4.9697e-07, 0.0499642
4.9793e-07, 0.0492094
4.9889e-07, 0.0482156
4.9985e-07, 0.04718
5.0081e-07, 0.046536
5.0177e-07, 0.0463281
5.0273e-07, 0.0467271
5.0369e-07, 0.0475103
5.0465e-07, 0.0483793
5.05611e-07, 0.0492155
5.06571e-07, 0.0498135
5.07531e-07, 0.0502167
5.08491e-07, 0.0505358
5.09451e-07, 0.0506118
5.10411e-07, 0.0503096
5.11371e-07, 0.0497133
5.12331e-07, 0.0489965
5.13291e-07, 0.0483716
5.14251e-07, 0.0480691
5.15212e-07, 0.048179
5.16172e-07, 0.0485619
5.17132e-07, 0.048999
5.18092e-07, 0.0493133
5.19052e-07, 0.0494699
5.20012e-07, 0.0496848
5.20972e-07, 0.0500334
5.21932e-07, 0.0507016
5.22892e-07, 0.0511907
5.23852e-07, 0.0516028
5.24812e-07, 0.0509632
5.25773e-07, 0.0490478
5.26733e-07, 0.0471833
5.27693e-07, 0.0427792
5.28653e-07, 0.0425054
5.29613e-07, 0.0428643
5.30573e-07, 0.043639
5.31533e-07, 0.0443702
5.32493e-07, 0.0445722
5.33453e-07, 0.0440785
5.34413e-07, 0.0432051
5.35374e-07, 0.0425415
5.36334e-07, 0.0425461
5.37294e-07, 0.0433199
5.38254e-07, 0.0446174
5.39214e-07, 0.0459485
5.40174e-07, 0.046782
5.41134e-07, 0.0468933
5.42094e-07, 0.0465695
5.43054e-07, 0.046381
5.44014e-07, 0.0467451
5.44974e-07, 0.0476892
5.45935e-07, 0.0489006
5.46895e-07, 0.0499328
5.47855e-07, 0.0504146
5.48815e-07, 0.0501641
5.49775e-07, 0.0492129
5.50735e-07, 0.0478244
5.51695e-07, 0.0464884
5.52655e-07, 0.0458151
5.53615e-07, 0.0462609
5.54575e-07, 0.0477536
5.55536e-07, 0.0495915
5.56496e-07, 0.0509308
5.57456e-07, 0.051425
5.58416e-07, 0.0512678
5.59376e-07, 0.0507485
5.60336e-07, 0.0502357
5.61296e-07, 0.0502753
5.62256e-07, 0.0511361
5.63216e-07, 0.0529418
5.64176e-07, 0.0555531
5.65137e-07, 0.0581292
5.66097e-07, 0.0599179
5.67057e-07, 0.0605457
5.68017e-07, 0.0597481
5.68977e-07, 0.0580786
5.69937e-07, 0.0564421
5.70897e-07, 0.0553167
5.71857e-07, 0.0551863
5.72817e-07, 0.055791
5.73777e-07, 0.0568603
5.74737e-07, 0.0581089
5.75698e-07, 0.0588652
5.76658e-07, 0.0587909
5.77618e-07, 0.0578617
5.78578e-07, 0.0570269
5.79538e-07, 0.0573339
5.80498e-07, 0.0593726
5.81458e-07, 0.0628873
5.82418e-07, 0.0671984
5.83378e-07, 0.0712564
5.84338e-07, 0.0744722
5.85299e-07, 0.0764422
5.86259e-07, 0.0774018
5.87219e-07, 0.0780954
5.88179e-07, 0.0785814
5.89139e-07, 0.0793213
5.90099e-07, 0.0800172
5.91059e-07, 0.0806686
5.92019e-07, 0.0815147
5.92979e-07, 0.0823854
5.93939e-07, 0.0835522
5.94899e-07, 0.0852888
5.9586e-07, 0.0868898
5.9682e-07, 0.0879878
5.9778e-07, 0.0883299
5.9874e-07, 0.0888143
5.997e-07, 0.0884231
6.0066e-07, 0.0888875
6.0162e-07, 0.0861767
6.0258e-07, 0.0831025
6.0354e-07, 0.0841921
6.045e-07, 0.0857528
6.05461e-07, 0.088242
6.06421e-07, 0.0916502
6.07381e-07, 0.0955063
6.08341e-07, 0.0992993
6.09301e-07, 0.102528
