

lambda(m), Y
6.05461e-07, 0.0870615
6.06421e-07, 0.0868405
6.07381e-07, 0.0874117
6.08341e-07, 0.088795
6.09301e-07, 0.0904907
6.10261e-07, 0.0914802
6.11221e-07, 0.0912537
6.12181e-07, 0.0904687
6.13141e-07, 0.0901885
6.14101e-07, 0.0908899
6.15062e-07, 0.0923323
6.16022e-07, 0.093872
6.16982e-07, 0.0946384
6.17942e-07, 0.0939099
6.18902e-07, 0.0920151
6.19862e-07, 0.0905531
6.20822e-07, 0.0910822
6.21782e-07, 0.093452
6.22742e-07, 0.095844
6.23702e-07, 0.0962977
6.24662e-07, 0.0938101
6.25623e-07, 0.0888241
6.26583e-07, 0.083268
6.27543e-07, 0.07951
6.28503e-07, 0.0787468
6.29463e-07, 0.0804555
6.30423e-07, 0.0832456
6.31383e-07, 0.0859456
6.32343e-07, 0.0879164
6.33303e-07, 0.0889378
6.34263e-07, 0.089301
6.35224e-07, 0.0895392
6.36184e-07, 0.0899795
6.37144e-07, 0.0907764
6.38104e-07, 0.0919647
6.39064e-07, 0.0931552
6.40024e-07, 0.0934744
6.40984e-07, 0.0919382
6.41944e-07, 0.0879209
6.42904e-07, 0.0815797
6.43864e-07, 0.0739779
6.44824e-07, 0.066999
6.45785e-07, 0.062602
6.46745e-07, 0.0613465
6.47705e-07, 0.0623957
6.48665e-07, 0.0654537
6.49625e-07, 0.0698132
6.50585e-07, 0.0749772
6.51545e-07, 0.0740595
6.52505e-07, 0.07667
6.53465e-07, 0.0794213
6.54425e-07, 0.0815125
6.55386e-07, 0.0822601
6.56346e-07, 0.0808337
6.57306e-07, 0.0769594
6.58266e-07, 0.0720614
6.59226e-07, 0.0689316
6.60186e-07, 0.0699477
6.61146e-07, 0.0751771
6.62106e-07, 0.0822434
6.63066e-07, 0.0882749
6.64026e-07, 0.0920961
6.64986e-07, 0.0945128
6.65947e-07, 0.0960619
6.66907e-07, 0.0956922
6.67867e-07, 0.0931253
6.68827e-07, 0.089625
6.69787e-07, 0.0857665
6.70747e-07, 0.0818884
6.71707e-07, 0.0794662
6.72667e-07, 0.0791204
6.73627e-07, 0.0793373
6.74587e-07, 0.0789611
6.75548e-07, 0.0780384
6.76508e-07, 0.0764233
6.77468e-07, 0.0736241
6.78428e-07, 0.0699821
6.79388e-07, 0.0671788
6.80348e-07, 0.0670063
6.81308e-07, 0.0701031
6.82268e-07, 0.0762616
6.83228e-07, 0.0851494
6.84188e-07, 0.0965751
6.85149e-07, 0.109299
6.86109e-07, 0.120108
6.87069e-07, 0.125682
6.88029e-07, 0.124235
6.88989e-07, 0.116187
6.89949e-07, 0.104524
6.90909e-07, 0.0939515
6.91869e-07, 0.0882926
6.92829e-07, 0.0881659
6.93789e-07, 0.0918565
6.94749e-07, 0.0973567
