

lambda(m), Y
4e-07, 0.0698376
4.0096e-07, 0.0690237
4.0192e-07, 0.068254
4.0288e-07, 0.0675882
4.0384e-07, 0.0668125
4.048e-07, 0.0660852
4.05761e-07, 0.0654329
4.06721e-07, 0.0647785
4.07681e-07, 0.0642028
4.08641e-07, 0.0637055
4.09601e-07, 0.0631301
4.10561e-07, 0.0622902
4.11521e-07, 0.0616147
4.12481e-07, 0.0587891
4.13441e-07, 0.05809
4.14401e-07, 0.0574526
4.15362e-07, 0.0567676
4.16322e-07, 0.05612
4.17282e-07, 0.0554554
4.18242e-07, 0.0548084
4.19202e-07, 0.054256
4.20162e-07, 0.0537532
4.21122e-07, 0.0532265
4.22082e-07, 0.0526793
4.23042e-07, 0.0521658
4.24002e-07, 0.0517272
4.24962e-07, 0.0513636
4.25923e-07, 0.0510427
4.26883e-07, 0.0507284
4.27843e-07, 0.0504069
4.28803e-07, 0.0500962
4.29763e-07, 0.0498312
4.30723e-07, 0.0496356
4.31683e-07, 0.0495001
4.32643e-07, 0.0493873
4.33603e-07, 0.0492591
4.34563e-07, 0.0491007
4.35524e-07, 0.0489208
4.36484e-07, 0.0487293
4.37444e-07, 0.0485159
4.38404e-07, 0.0482553
4.39364e-07, 0.0479286
4.40324e-07, 0.0475276
4.41284e-07, 0.0470624
4.42244e-07, 0.0465784
4.43204e-07, 0.0461131
4.44164e-07, 0.0455922
4.45125e-07, 0.0450605
4.46085e-07, 0.0445561
4.47045e-07, 0.044021
4.48005e-07, 0.0435108
4.48965e-07, 0.0429986
4.49925e-07, 0.0426925
4.50885e-07, 0.0424835
4.51845e-07, 0.0423163
4.52805e-07, 0.0421756
4.53765e-07, 0.0418459
4.54725e-07, 0.0416987
4.55686e-07, 0.0416753
4.56646e-07, 0.0415921
4.57606e-07, 0.0415827
4.58566e-07, 0.0415769
4.59526e-07, 0.0415316
4.60486e-07, 0.0414776
4.61446e-07, 0.0412527
4.62406e-07, 0.0409585
4.63366e-07, 0.0404895
4.64326e-07, 0.0400005
4.65287e-07, 0.0395019
4.66247e-07, 0.0390476
4.67207e-07, 0.0387217
4.68167e-07, 0.0383725
4.69127e-07, 0.0381117
4.70087e-07, 0.0377671
4.71047e-07, 0.0374254
4.72007e-07, 0.0371256
4.72967e-07, 0.0367656
4.73927e-07, 0.0364688
4.74887e-07, 0.0362395
4.75848e-07, 0.03603
4.76808e-07, 0.0359517
4.77768e-07, 0.0360433
4.78728e-07, 0.0362427
4.79688e-07, 0.0365511
4.80648e-07, 0.0369574
4.81608e-07, 0.0373158
4.82568e-07, 0.0374452
4.83528e-07, 0.037303
4.84488e-07, 0.0370047
4.85449e-07, 0.0367052
4.86409e-07, 0.0365034
4.87369e-07, 0.0364496
4.88329e-07, 0.0365894
4.89289e-07, 0.0369584
4.90249e-07, 0.0375089
4.91209e-07, 0.0380751
4.92169e-07, 0.0384537
4.93129e-07, 0.0385136
4.94089e-07, 0.0382773
4.9505e-07, 0.0378262
4.9601e-07, 0.0372432
4.9697e-07, 0.0365199
4.9793e-07, 0.0357073
4.9889e-07, 0.034921
4.9985e-07, 0.0343996
5.0081e-07, 0.0344282
5.0177e-07, 0.0348557
5.0273e-07, 0.0352669
5.0369e-07, 0.0362011
5.0465e-07, 0.0371447
5.05611e-07, 0.0377893
5.06571e-07, 0.0379672
5.07531e-07, 0.0376027
5.08491e-07, 0.0367188
5.09451e-07, 0.0354498
5.10411e-07, 0.0340452
5.11371e-07, 0.0328332
5.12331e-07, 0.0321336
5.13291e-07, 0.0321448
5.14251e-07, 0.0328823
5.15212e-07, 0.0341932
5.16172e-07, 0.0358018
5.17132e-07, 0.0373721
5.18092e-07, 0.0386293
5.19052e-07, 0.0394471
5.20012e-07, 0.0397943
5.20972e-07, 0.0396488
5.21932e-07, 0.0390381
5.22892e-07, 0.0380366
5.23852e-07, 0.0366347
5.24812e-07, 0.0348258
5.25773e-07, 0.0329367
5.26733e-07, 0.0314242
5.27693e-07, 0.0305875
5.28653e-07, 0.0306325
5.29613e-07, 0.031514
5.30573e-07, 0.0328793
5.31533e-07, 0.0344241
5.32493e-07, 0.0359792
5.33453e-07, 0.0373051
5.34413e-07, 0.0383652
5.35374e-07, 0.0392191
5.36334e-07, 0.039699
5.37294e-07, 0.0397344
5.38254e-07, 0.0390449
5.39214e-07, 0.0376231
5.40174e-07, 0.0357286
5.41134e-07, 0.0336286
5.42094e-07, 0.0318278
5.43054e-07, 0.0304815
5.44014e-07, 0.0299768
5.44974e-07, 0.030321
5.45935e-07, 0.0315741
5.46895e-07, 0.0331432
5.47855e-07, 0.0345716
5.48815e-07, 0.0352497
5.49775e-07, 0.0354334
5.50735e-07, 0.0353845
5.51695e-07, 0.0357047
5.52655e-07, 0.0365747
5.53615e-07, 0.038095
5.54575e-07, 0.0400162
5.55536e-07, 0.041955
5.56496e-07, 0.043171
5.57456e-07, 0.0429414
5.58416e-07, 0.0413836
5.59376e-07, 0.0389163
5.60336e-07, 0.0363248
5.61296e-07, 0.0346138
5.62256e-07, 0.0337552
5.63216e-07, 0.0338326
5.64176e-07, 0.0342209
5.65137e-07, 0.0339026
