

lambda(m), Y
4e-07, 0.00821137
4.0096e-07, 0.0081357
4.0192e-07, 0.00806571
4.0288e-07, 0.00798657
4.0384e-07, 0.00788629
4.048e-07, 0.00772636
4.05761e-07, 0.00753495
4.06721e-07, 0.00728964
4.07681e-07, 0.00704181
4.08641e-07, 0.00677863
4.09601e-07, 0.00647572
4.10561e-07, 0.00619565
4.11521e-07, 0.00578237
4.12481e-07, 0.00518234
4.13441e-07, 0.00483243
4.14401e-07, 0.00468984
4.15362e-07, 0.00460955
4.16322e-07, 0.00456646
4.17282e-07, 0.0045439
4.18242e-07, 0.00452905
4.19202e-07, 0.00451991
4.20162e-07, 0.00450082
4.21122e-07, 0.00446168
4.22082e-07, 0.00439916
4.23042e-07, 0.00430306
4.24002e-07, 0.0041979
4.24962e-07, 0.00407369
4.25923e-07, 0.00394776
4.26883e-07, 0.00381447
4.27843e-07, 0.00366152
4.28803e-07, 0.00350098
4.29763e-07, 0.00334094
4.30723e-07, 0.0031905
4.31683e-07, 0.00306288
4.32643e-07, 0.00296215
4.33603e-07, 0.00288157
4.34563e-07, 0.00281337
4.35524e-07, 0.00275683
4.36484e-07, 0.00271698
4.37444e-07, 0.00269744
4.38404e-07, 0.00269548
4.39364e-07, 0.00270217
4.40324e-07, 0.00270773
4.41284e-07, 0.00270972
4.42244e-07, 0.00271505
4.43204e-07, 0.00272877
4.44164e-07, 0.00275197
4.45125e-07, 0.00277833
4.46085e-07, 0.00280032
4.47045e-07, 0.00280771
4.48005e-07, 0.00279619
4.48965e-07, 0.00278133
4.49925e-07, 0.00277544
4.50885e-07, 0.00276287
4.51845e-07, 0.00269011
4.52805e-07, 0.00260199
4.53765e-07, 0.00234951
4.54725e-07, 0.00224489
4.55686e-07, 0.00214524
4.56646e-07, 0.00206098
4.57606e-07, 0.00200488
4.58566e-07, 0.0019823
4.59526e-07, 0.00199097
4.60486e-07, 0.00201548
4.61446e-07, 0.00202815
4.62406e-07, 0.00200892
4.63366e-07, 0.00196399
4.64326e-07, 0.00191725
4.65287e-07, 0.00188761
4.66247e-07, 0.0018838
4.67207e-07, 0.00191314
4.68167e-07, 0.00197767
4.69127e-07, 0.00206066
4.70087e-07, 0.00213114
4.71047e-07, 0.0021661
4.72007e-07, 0.0021626
4.72967e-07, 0.00212712
4.73927e-07, 0.00206192
4.74887e-07, 0.00197652
4.75848e-07, 0.00190457
4.76808e-07, 0.00188712
4.77768e-07, 0.00194016
4.78728e-07, 0.00203989
4.79688e-07, 0.00215074
4.80648e-07, 0.00224501
4.81608e-07, 0.00229688
4.82568e-07, 0.00228194
4.83528e-07, 0.0021762
4.84488e-07, 0.00199943
4.85449e-07, 0.00180908
4.86409e-07, 0.00167257
4.87369e-07, 0.0016289
4.88329e-07, 0.00168282
4.89289e-07, 0.00182382
4.90249e-07, 0.0020444
4.91209e-07, 0.00231364
4.92169e-07, 0.0025815
4.93129e-07, 0.00277836
4.94089e-07, 0.00286776
4.9505e-07, 0.00285475
4.9601e-07, 0.00277096
4.9697e-07, 0.00264617
4.9793e-07, 0.00249709
4.9889e-07, 0.00235479
4.9985e-07, 0.00228994
5.0081e-07, 0.00234879
5.0177e-07, 0.00252417
5.0273e-07, 0.00266336
5.0369e-07, 0.00295814
5.0465e-07, 0.00331981
5.05611e-07, 0.00368637
5.06571e-07, 0.00400709
5.07531e-07, 0.00422212
5.08491e-07, 0.00425818
5.09451e-07, 0.00409264
5.10411e-07, 0.00377867
5.11371e-07, 0.00340407
5.12331e-07, 0.00305999
5.13291e-07, 0.00281009
5.14251e-07, 0.00268496
5.15212e-07, 0.00271595
5.16172e-07, 0.00294813
5.17132e-07, 0.00340855
5.18092e-07, 0.00407552
5.19052e-07, 0.00485939
5.20012e-07, 0.00564542
5.20972e-07, 0.00634146
5.21932e-07, 0.00691353
5.22892e-07, 0.00736264
5.23852e-07, 0.0076722
5.24812e-07, 0.0078141
5.25773e-07, 0.00775219
5.26733e-07, 0.00749007
5.27693e-07, 0.00709374
5.28653e-07, 0.00667966
5.29613e-07, 0.00636791
5.30573e-07, 0.00623666
5.31533e-07, 0.00631721
5.32493e-07, 0.00661348
5.33453e-07, 0.00713007
5.34413e-07, 0.00788072
5.35374e-07, 0.00886909
5.36334e-07, 0.0100556
5.37294e-07, 0.0113441
5.38254e-07, 0.0126036
5.39214e-07, 0.0137068
5.40174e-07, 0.0145651
5.41134e-07, 0.0151368
5.42094e-07, 0.0154182
5.43054e-07, 0.0154298
5.44014e-07, 0.0152016
5.44974e-07, 0.0147779
5.45935e-07, 0.0142333
5.46895e-07, 0.0136797
5.47855e-07, 0.0132429
5.48815e-07, 0.0130323
5.49775e-07, 0.0131108
5.50735e-07, 0.0134766
5.51695e-07, 0.0140792
5.52655e-07, 0.0148628
5.53615e-07, 0.0158085
5.54575e-07, 0.0169267
5.55536e-07, 0.0182243
5.56496e-07, 0.019679
5.57456e-07, 0.0212356
5.58416e-07, 0.0228394
5.59376e-07, 0.0243803
5.60336e-07, 0.0257792
5.61296e-07, 0.0269589
5.62256e-07, 0.0279094
5.63216e-07, 0.0286088
5.64176e-07, 0.0290091
5.65137e-07, 0.0290227
5.66097e-07, 0.0289348
5.67057e-07, 0.0286304
5.68017e-07, 0.0281386
5.68977e-07, 0.0275282
5.69937e-07, 0.0269041
5.70897e-07, 0.0263862
5.71857e-07, 0.0260951
5.72817e-07, 0.0261302
5.73777e-07, 0.0265642
5.74737e-07, 0.0274252
5.75698e-07, 0.0287116
5.76658e-07, 0.0303958
5.77618e-07, 0.0324382
5.78578e-07, 0.034754
5.79538e-07, 0.037195
5.80498e-07, 0.0395792
5.81458e-07, 0.0417681
5.82418e-07, 0.0436928
5.83378e-07, 0.0453599
5.84338e-07, 0.0468307
5.85299e-07, 0.0481899
5.86259e-07, 0.0494958
5.87219e-07, 0.0507569
5.88179e-07, 0.0519424
