

lambda(m), Y
6.045e-07, 0.0595022
6.05461e-07, 0.0588278
6.06421e-07, 0.0584625
6.07381e-07, 0.0585768
6.08341e-07, 0.0590598
6.09301e-07, 0.0597031
6.10261e-07, 0.0605802
6.11221e-07, 0.0617171
6.12181e-07, 0.0635723
6.13141e-07, 0.066018
6.14101e-07, 0.0690854
6.15062e-07, 0.0724485
6.16022e-07, 0.0761541
6.16982e-07, 0.0799799
6.17942e-07, 0.0839039
6.18902e-07, 0.0877894
6.19862e-07, 0.0916303
6.20822e-07, 0.095286
6.21782e-07, 0.098452
6.22742e-07, 0.100856
6.23702e-07, 0.102498
6.24662e-07, 0.103722
6.25623e-07, 0.104941
6.26583e-07, 0.10644
6.27543e-07, 0.108386
6.28503e-07, 0.110555
6.29463e-07, 0.112811
6.30423e-07, 0.114653
6.31383e-07, 0.116036
6.32343e-07, 0.116577
6.33303e-07, 0.116607
6.34263e-07, 0.116263
6.35224e-07, 0.115946
6.36184e-07, 0.115646
6.37144e-07, 0.115257
6.38104e-07, 0.114858
6.39064e-07, 0.11437
6.40024e-07, 0.114014
6.40984e-07, 0.113737
6.41944e-07, 0.113841
6.42904e-07, 0.11457
6.43864e-07, 0.115881
6.44824e-07, 0.117711
6.45785e-07, 0.119949
6.46745e-07, 0.122975
6.47705e-07, 0.126806
6.48665e-07, 0.131145
6.49625e-07, 0.135816
6.50585e-07, 0.140428
6.51545e-07, 0.145069
6.52505e-07, 0.149762
6.53465e-07, 0.154077
6.54425e-07, 0.158024
6.55386e-07, 0.161457
6.56346e-07, 0.164022
6.57306e-07, 0.165826
6.58266e-07, 0.167013
6.59226e-07, 0.168072
6.60186e-07, 0.169714
6.61146e-07, 0.171774
6.62106e-07, 0.173829
6.63066e-07, 0.175964
6.64026e-07, 0.17815
6.64986e-07, 0.180173
6.65947e-07, 0.18219
6.66907e-07, 0.184098
6.67867e-07, 0.185457
6.68827e-07, 0.186437
6.69787e-07, 0.187363
6.70747e-07, 0.188038
6.71707e-07, 0.188284
6.72667e-07, 0.188227
6.73627e-07, 0.187931
6.74587e-07, 0.187479
6.75548e-07, 0.187206
6.76508e-07, 0.187519
6.77468e-07, 0.188662
6.78428e-07, 0.190589
6.79388e-07, 0.192913
6.80348e-07, 0.194996
6.81308e-07, 0.196229
6.82268e-07, 0.196442
6.83228e-07, 0.195872
6.84188e-07, 0.194676
6.85149e-07, 0.192884
6.86109e-07, 0.190585
6.87069e-07, 0.187724
6.88029e-07, 0.184095
6.88989e-07, 0.179946
6.89949e-07, 0.177044
6.90909e-07, 0.177558
6.91869e-07, 0.180746
6.92829e-07, 0.184058
6.93789e-07, 0.187443
6.94749e-07, 0.193737
6.9571e-07, 0.204031
6.9667e-07, 0.21553
6.9763e-07, 0.225707
6.9859e-07, 0.234189
6.9955e-07, 0.239478
7.0051e-07, 0.243951
7.0147e-07, 0.245986
7.0243e-07, 0.246312
7.0339e-07, 0.246198
7.0435e-07, 0.245855
7.05311e-07, 0.246359
7.06271e-07, 0.2482
7.07231e-07, 0.251621
7.08191e-07, 0.256273
7.09151e-07, 0.260973
7.10111e-07, 0.264144
7.11071e-07, 0.265305
7.12031e-07, 0.265238
7.12991e-07, 0.264944
7.13951e-07, 0.265007
7.14911e-07, 0.265537
7.15872e-07, 0.266435
7.16832e-07, 0.267597
7.17792e-07, 0.268916
7.18752e-07, 0.270149
7.19712e-07, 0.270928
7.20672e-07, 0.271046
7.21632e-07, 0.270642
7.22592e-07, 0.269888
7.23552e-07, 0.268425
7.24512e-07, 0.265115
7.25473e-07, 0.258268
7.26433e-07, 0.246839
7.27393e-07, 0.232205
7.28353e-07, 0.219353
7.29313e-07, 0.213202
7.30273e-07, 0.213211
7.31233e-07, 0.215865
7.32193e-07, 0.218638
7.33153e-07, 0.221147
7.34113e-07, 0.224965
7.35074e-07, 0.229406
7.36034e-07, 0.231072
7.36994e-07, 0.230876
7.37954e-07, 0.235464
7.38914e-07, 0.247651
7.39874e-07, 0.262372
7.40834e-07, 0.274651
7.41794e-07, 0.283175
7.42754e-07, 0.289562
7.43714e-07, 0.29609
7.44674e-07, 0.303714
7.45635e-07, 0.31195
7.46595e-07, 0.31979
7.47555e-07, 0.325838
7.48515e-07, 0.329015
7.49475e-07, 0.329431
7.50435e-07, 0.32821
7.51395e-07, 0.327495
7.52355e-07, 0.330141
7.53315e-07, 0.337573
7.54275e-07, 0.347593
7.55236e-07, 0.356347
7.56196e-07, 0.361744
7.57156e-07, 0.364547
7.58116e-07, 0.367103
7.59076e-07, 0.370489
7.60036e-07, 0.374002
7.60996e-07, 0.376952
7.61956e-07, 0.379173
7.62916e-07, 0.380546
7.63876e-07, 0.380655
7.64836e-07, 0.379169
7.65797e-07, 0.376625
7.66757e-07, 0.374612
7.67717e-07, 0.374613
7.68677e-07, 0.376206
7.69637e-07, 0.377563
7.70597e-07, 0.377747
7.71557e-07, 0.377016
7.72517e-07, 0.374981
7.73477e-07, 0.369213
7.74437e-07, 0.357575
7.75398e-07, 0.34099
7.76358e-07, 0.325372
7.77318e-07, 0.31998
7.78278e-07, 0.32758
7.79238e-07, 0.340275
7.80198e-07, 0.350459
7.81158e-07, 0.356838
7.82118e-07, 0.360741
7.83078e-07, 0.363
7.84038e-07, 0.363816
7.84998e-07, 0.363277
7.85959e-07, 0.361389
7.86919e-07, 0.357125
7.87879e-07, 0.348003
7.88839e-07, 0.331891
7.89799e-07, 0.307895
7.90759e-07, 0.277458
7.91719e-07, 0.251739
7.92679e-07, 0.251811
7.93639e-07, 0.279758
7.94599e-07, 0.315228
7.9556e-07, 0.34539
7.9652e-07, 0.367959
7.9748e-07, 0.383929
7.9844e-07, 0.394653
7.994e-07, 0.401117
8.0036e-07, 0.404051
8.0132e-07, 0.403361
8.0228e-07, 0.3983
8.0324e-07, 0.388634
8.042e-07, 0.375016
8.05161e-07, 0.359437
8.06121e-07, 0.345491
8.07081e-07, 0.337342
8.08041e-07, 0.33749
8.09001e-07, 0.346085
8.09961e-07, 0.362853
8.10921e-07, 0.382601
8.11881e-07, 0.399387
8.12841e-07, 0.412971
8.13801e-07, 0.424468
8.14761e-07, 0.434487
8.15722e-07, 0.443584
8.16682e-07, 0.452483
8.17642e-07, 0.461647
8.18602e-07, 0.470735
8.19562e-07, 0.479045
8.20522e-07, 0.486281
8.21482e-07, 0.492345
8.22442e-07, 0.497174
8.23402e-07, 0.500646
8.24362e-07, 0.50207
8.25323e-07, 0.500911
8.26283e-07, 0.497431
8.27243e-07, 0.492335
8.28203e-07, 0.487083
8.29163e-07, 0.483445
8.30123e-07, 0.481336
8.31083e-07, 0.479068
8.32043e-07, 0.47615
8.33003e-07, 0.471694
8.33963e-07, 0.461448
8.34923e-07, 0.444504
8.35884e-07, 0.427539
8.36844e-07, 0.418781
8.37804e-07, 0.424509
8.38764e-07, 0.44228
8.39724e-07, 0.454956
8.40684e-07, 0.462202
8.41644e-07, 0.465869
8.42604e-07, 0.464507
8.43564e-07, 0.463801
8.44524e-07, 0.467806
8.45485e-07, 0.474493
8.46445e-07, 0.47899
8.47405e-07, 0.479021
8.48365e-07, 0.473881
8.49325e-07, 0.462706
8.50285e-07, 0.444554
8.51245e-07, 0.42019
8.52205e-07, 0.391666
8.53165e-07, 0.356255
8.54125e-07, 0.310475
8.55086e-07, 0.267933
8.56046e-07, 0.261491
8.57006e-07, 0.300694
8.57966e-07, 0.354026
8.58926e-07, 0.393386
8.59886e-07, 0.411722
8.60846e-07, 0.410185
8.61806e-07, 0.391445
8.62766e-07, 0.363727
8.63726e-07, 0.343606
8.64686e-07, 0.339801
8.65647e-07, 0.341138
8.66607e-07, 0.334623
8.67567e-07, 0.327053
8.68527e-07, 0.34157
8.69487e-07, 0.375686
8.70447e-07, 0.408615
8.71407e-07, 0.431571
8.72367e-07, 0.445301
8.73327e-07, 0.452208
8.74287e-07, 0.454283
8.75248e-07, 0.453283
8.76208e-07, 0.452234
8.77168e-07, 0.454917
8.78128e-07, 0.461958
8.79088e-07, 0.472515
8.80048e-07, 0.484903
8.81008e-07, 0.496949
8.81968e-07, 0.507135
8.82928e-07, 0.514759
8.83888e-07, 0.519478
8.84848e-07, 0.521921
8.85809e-07, 0.524684
8.86769e-07, 0.530302
8.87729e-07, 0.538038
8.88689e-07, 0.545592
8.89649e-07, 0.552021
8.90609e-07, 0.557559
8.91569e-07, 0.56233
8.92529e-07, 0.565938
8.93489e-07, 0.568416
8.94449e-07, 0.569708
8.9541e-07, 0.569699
8.9637e-07, 0.56952
8.9733e-07, 0.569849
8.9829e-07, 0.568604
8.9925e-07, 0.564488
9.0021e-07, 0.557388
9.0117e-07, 0.546699
9.0213e-07, 0.530706
9.0309e-07, 0.507035
9.0405e-07, 0.474412
9.05011e-07, 0.435803
9.05971e-07, 0.402918
9.06931e-07, 0.403288
9.07891e-07, 0.436229
9.08851e-07, 0.470067
9.09811e-07, 0.48972
9.10771e-07, 0.494085
9.11731e-07, 0.490795
9.12691e-07, 0.496211
9.13651e-07, 0.516949
9.14611e-07, 0.540816
9.15572e-07, 0.559005
9.16532e-07, 0.571103
9.17492e-07, 0.578985
9.18452e-07, 0.583742
9.19412e-07, 0.585892
9.20372e-07, 0.585888
9.21332e-07, 0.583386
9.22292e-07, 0.577518
9.23252e-07, 0.567717
9.24212e-07, 0.553261
9.25173e-07, 0.535112
9.26133e-07, 0.520413
9.27093e-07, 0.516346
9.28053e-07, 0.518237
9.29013e-07, 0.519366
9.29973e-07, 0.516378
9.30933e-07, 0.507137
9.31893e-07, 0.492935
9.32853e-07, 0.48457
9.33813e-07, 0.499141
9.34773e-07, 0.526435
9.35734e-07, 0.543867
9.36694e-07, 0.547903
9.37654e-07, 0.546728
9.38614e-07, 0.553102
9.39574e-07, 0.568786
9.40534e-07, 0.582836
9.41494e-07, 0.590819
9.42454e-07, 0.594024
9.43414e-07, 0.594524
9.44374e-07, 0.593182
9.45335e-07, 0.590084
9.46295e-07, 0.585343
9.47255e-07, 0.578728
9.48215e-07, 0.57063
9.49175e-07, 0.565562
9.50135e-07, 0.569971
9.51095e-07, 0.579068
9.52055e-07, 0.584061
9.53015e-07, 0.583875
9.53975e-07, 0.581419
9.54935e-07, 0.580374
9.55896e-07, 0.583045
9.56856e-07, 0.589343
9.57816e-07, 0.596523
9.58776e-07, 0.603613
9.59736e-07, 0.610999
9.60696e-07, 0.618398
9.61656e-07, 0.625201
9.62616e-07, 0.631906
9.63576e-07, 0.638084
9.64536e-07, 0.643593
9.65497e-07, 0.648747
9.66457e-07, 0.652135
9.67417e-07, 0.653926
9.68377e-07, 0.653129
9.69337e-07, 0.650291
9.70297e-07, 0.65021
9.71257e-07, 0.65153
9.72217e-07, 0.650426
9.73177e-07, 0.646676
9.74137e-07, 0.644228
9.75098e-07, 0.647996
9.76058e-07, 0.653992
9.77018e-07, 0.657446
9.77978e-07, 0.653803
9.78938e-07, 0.636509
9.79898e-07, 0.596297
9.80858e-07, 0.505434
9.81818e-07, 0.340815
9.82778e-07, 0.243877
9.83738e-07, 0.36041
9.84698e-07, 0.485892
9.85659e-07, 0.556296
9.86619e-07, 0.588941
9.87579e-07, 0.600112
9.88539e-07, 0.596769
9.89499e-07, 0.582068
9.90459e-07, 0.56431
9.91419e-07, 0.554304
9.92379e-07, 0.559614
9.93339e-07, 0.570461
9.94299e-07, 0.567057
9.9526e-07, 0.541183
9.9622e-07, 0.529151
9.9718e-07, 0.568755
9.9814e-07, 0.6119
9.991e-07, 0.636556
1.00006e-06, 0.648082
1.00102e-06, 0.652264
1.00198e-06, 0.65094
1.00294e-06, 0.641136
1.0039e-06, 0.622849
1.00486e-06, 0.593156
1.00582e-06, 0.548745
1.00678e-06, 0.486693
1.00774e-06, 0.408645
1.0087e-06, 0.334262
1.00966e-06, 0.302346
1.01062e-06, 0.337678
1.01158e-06, 0.413687
1.01254e-06, 0.490865
1.0135e-06, 0.551452
1.01446e-06, 0.594559
1.01542e-06, 0.624348
1.01638e-06, 0.64486
1.01734e-06, 0.658829
1.0183e-06, 0.668528
1.01926e-06, 0.674513
1.02022e-06, 0.678108
1.02118e-06, 0.678649
1.02214e-06, 0.67652
1.0231e-06, 0.670117
1.02406e-06, 0.657511
1.02502e-06, 0.634268
1.02598e-06, 0.591881
1.02694e-06, 0.524189
1.0279e-06, 0.469596
1.02886e-06, 0.513346
1.02982e-06, 0.593071
1.03078e-06, 0.638163
1.03174e-06, 0.653972
1.0327e-06, 0.663499
1.03366e-06, 0.678345
1.03462e-06, 0.693055
1.03558e-06, 0.702293
1.03654e-06, 0.708326
1.0375e-06, 0.711515
1.03846e-06, 0.713483
1.03942e-06, 0.714364
1.04038e-06, 0.71456
1.04134e-06, 0.714451
1.0423e-06, 0.713709
1.04326e-06, 0.71308
1.04422e-06, 0.711738
1.04518e-06, 0.71072
1.04614e-06, 0.708398
1.0471e-06, 0.706132
1.04806e-06, 0.700983
1.04902e-06, 0.69584
1.04998e-06, 0.685669
1.05095e-06, 0.669374
1.05191e-06, 0.658598
1.05287e-06, 0.661573
1.05383e-06, 0.676305
1.05479e-06, 0.694111
1.05575e-06, 0.707801
1.05671e-06, 0.715687
1.05767e-06, 0.71986
1.05863e-06, 0.72108
1.05959e-06, 0.720828
1.06055e-06, 0.719069
1.06151e-06, 0.716802
1.06247e-06, 0.713736
1.06343e-06, 0.71065
1.06439e-06, 0.707181
1.06535e-06, 0.703935
1.06631e-06, 0.70056
1.06727e-06, 0.697545
1.06823e-06, 0.694702
1.06919e-06, 0.692714
1.07015e-06, 0.692064
1.07111e-06, 0.693744
1.07207e-06, 0.696334
1.07303e-06, 0.69541
1.07399e-06, 0.686802
1.07495e-06, 0.670478
1.07591e-06, 0.650876
1.07687e-06, 0.635936
1.07783e-06, 0.630534
1.07879e-06, 0.632009
1.07975e-06, 0.635916
1.08071e-06, 0.639101
1.08167e-06, 0.640921
1.08263e-06, 0.641215
1.08359e-06, 0.641264
1.08455e-06, 0.642232
1.08551e-06, 0.645922
1.08647e-06, 0.652829
1.08743e-06, 0.662201
1.08839e-06, 0.671989
1.08935e-06, 0.679771
1.09031e-06, 0.683797
1.09127e-06, 0.682559
1.09223e-06, 0.675794
1.09319e-06, 0.663637
1.09415e-06, 0.647975
1.09511e-06, 0.630594
1.09607e-06, 0.61412
1.09703e-06, 0.59944
1.09799e-06, 0.587788
1.09895e-06, 0.578457
1.09991e-06, 0.571898
1.10087e-06, 0.566923
1.10183e-06, 0.564079
1.10279e-06, 0.562293
1.10375e-06, 0.562403
1.10471e-06, 0.563602
1.10567e-06, 0.566981
1.10663e-06, 0.572067
1.10759e-06, 0.580101
1.10855e-06, 0.590838
1.10951e-06, 0.605185
1.11047e-06, 0.622187
1.11143e-06, 0.640683
1.11239e-06, 0.656779
1.11335e-06, 0.665984
1.11431e-06, 0.666523
1.11527e-06, 0.663917
1.11623e-06, 0.658306
1.11719e-06, 0.645255
1.11815e-06, 0.630686
1.11911e-06, 0.616812
1.12007e-06, 0.604192
1.12103e-06, 0.590207
1.12199e-06, 0.575086
1.12295e-06, 0.557505
1.12391e-06, 0.537857
1.12487e-06, 0.515972
1.12583e-06, 0.492843
1.12679e-06, 0.471937
1.12775e-06, 0.459818
1.12871e-06, 0.468275
1.12967e-06, 0.504242
1.13063e-06, 0.560619
1.13159e-06, 0.616349
1.13255e-06, 0.658469
1.13351e-06, 0.684457
1.13447e-06, 0.699088
1.13543e-06, 0.706227
1.13639e-06, 0.709025
1.13735e-06, 0.709613
1.13831e-06, 0.7084
1.13927e-06, 0.706927
1.14023e-06, 0.704306
1.14119e-06, 0.701881
1.14215e-06, 0.698455
1.14311e-06, 0.694765
1.14407e-06, 0.689948
1.14503e-06, 0.683346
1.14599e-06, 0.674409
1.14695e-06, 0.659776
1.14791e-06, 0.63841
1.14887e-06, 0.610537
1.14983e-06, 0.607692
1.1508e-06, 0.644029
1.15176e-06, 0.678118
1.15272e-06, 0.694959
1.15368e-06, 0.703731
1.15464e-06, 0.707371
1.1556e-06, 0.709991
1.15656e-06, 0.710834
1.15752e-06, 0.711723
1.15848e-06, 0.711695
1.15944e-06, 0.711334
1.1604e-06, 0.710249
1.16136e-06, 0.707483
1.16232e-06, 0.703008
1.16328e-06, 0.693233
1.16424e-06, 0.677077
1.1652e-06, 0.653696
1.16616e-06, 0.648543
1.16712e-06, 0.674721
1.16808e-06, 0.701695
1.16904e-06, 0.717983
1.17e-06, 0.727867
1.17096e-06, 0.7333
1.17192e-06, 0.737028
1.17288e-06, 0.738232
1.17384e-06, 0.738513
1.1748e-06, 0.738572
1.17576e-06, 0.74191
1.17672e-06, 0.747972
1.17768e-06, 0.753302
1.17864e-06, 0.757596
1.1796e-06, 0.760015
1.18056e-06, 0.762046
1.18152e-06, 0.763163
1.18248e-06, 0.763952
1.18344e-06, 0.764799
1.1844e-06, 0.764929
1.18536e-06, 0.765169
1.18632e-06, 0.763894
1.18728e-06, 0.761223
1.18824e-06, 0.756335
1.1892e-06, 0.748792
1.19016e-06, 0.739842
1.19112e-06, 0.72948
1.19208e-06, 0.720159
1.19304e-06, 0.712762
1.194e-06, 0.708459
1.19496e-06, 0.708222
1.19592e-06, 0.710868
1.19688e-06, 0.716662
1.19784e-06, 0.723932
1.1988e-06, 0.732059
1.19976e-06, 0.740661
1.20072e-06, 0.748464
1.20168e-06, 0.756089
1.20264e-06, 0.762536
1.2036e-06, 0.76803
1.20456e-06, 0.772687
1.20552e-06, 0.7757
1.20648e-06, 0.777819
1.20744e-06, 0.778009
1.2084e-06, 0.776166
1.20936e-06, 0.771893
1.21032e-06, 0.763578
1.21128e-06, 0.750932
1.21224e-06, 0.732214
1.2132e-06, 0.707182
1.21416e-06, 0.677674
1.21512e-06, 0.647449
1.21608e-06, 0.623862
1.21704e-06, 0.612159
1.218e-06, 0.613755
1.21896e-06, 0.626435
1.21992e-06, 0.645761
1.22088e-06, 0.668973
1.22184e-06, 0.693188
1.2228e-06, 0.715685
1.22376e-06, 0.734708
1.22472e-06, 0.749146
1.22568e-06, 0.759851
1.22664e-06, 0.767407
1.2276e-06, 0.772269
1.22856e-06, 0.775143
1.22952e-06, 0.775788
1.23048e-06, 0.774582
1.23144e-06, 0.771453
1.2324e-06, 0.766066
1.23336e-06, 0.758675
1.23432e-06, 0.748637
1.23528e-06, 0.7358
1.23624e-06, 0.719888
1.2372e-06, 0.699976
1.23816e-06, 0.675902
1.23912e-06, 0.646764
1.24008e-06, 0.611855
1.24104e-06, 0.57127
1.242e-06, 0.524922
1.24296e-06, 0.474742
1.24392e-06, 0.424635
1.24488e-06, 0.38039
1.24584e-06, 0.350252
1.2468e-06, 0.341104
1.24776e-06, 0.355483
1.24872e-06, 0.39057
1.24968e-06, 0.438853
1.25065e-06, 0.492146
1.25161e-06, 0.544178
1.25257e-06, 0.591157
