

lambda(m), Y
4e-07, 0.0151467
4.0096e-07, 0.0146406
4.0192e-07, 0.0142105
4.0288e-07, 0.0137854
4.0384e-07, 0.0134464
4.048e-07, 0.0131193
4.05761e-07, 0.0128363
4.06721e-07, 0.0125785
4.07681e-07, 0.0122997
4.08641e-07, 0.0120551
4.09601e-07, 0.0118096
4.10561e-07, 0.0115621
4.11521e-07, 0.0113405
4.12481e-07, 0.0111198
4.13441e-07, 0.010878
4.14401e-07, 0.0106258
4.15362e-07, 0.0103685
4.16322e-07, 0.0101004
4.17282e-07, 0.00982064
4.18242e-07, 0.00953216
4.19202e-07, 0.00924021
4.20162e-07, 0.00895188
4.21122e-07, 0.00867061
4.22082e-07, 0.00840134
4.23042e-07, 0.00815262
4.24002e-07, 0.00792954
4.24962e-07, 0.00773541
4.25923e-07, 0.00756572
4.26883e-07, 0.0074182
4.27843e-07, 0.00728951
4.28803e-07, 0.00718577
4.29763e-07, 0.00710966
4.30723e-07, 0.00706962
4.31683e-07, 0.00706061
4.32643e-07, 0.00707046
4.33603e-07, 0.00708303
4.34563e-07, 0.00711017
4.35524e-07, 0.00693404
4.36484e-07, 0.00680478
4.37444e-07, 0.00669539
4.38404e-07, 0.00657247
4.39364e-07, 0.00643208
4.40324e-07, 0.00627394
4.41284e-07, 0.00610333
4.42244e-07, 0.0059303
4.43204e-07, 0.00576296
4.44164e-07, 0.00560392
4.45125e-07, 0.005454
4.46085e-07, 0.00531525
4.47045e-07, 0.00519288
4.48005e-07, 0.00509814
4.48965e-07, 0.00504193
4.49925e-07, 0.00502025
4.50885e-07, 0.00501255
4.51845e-07, 0.00500414
4.52805e-07, 0.00500211
4.53765e-07, 0.00501069
4.54725e-07, 0.00502612
4.55686e-07, 0.00506399
4.56646e-07, 0.00513369
4.57606e-07, 0.00521944
4.58566e-07, 0.00530676
4.59526e-07, 0.00538507
4.60486e-07, 0.00541885
4.61446e-07, 0.00541213
4.62406e-07, 0.00538179
4.63366e-07, 0.00531837
4.64326e-07, 0.00526719
4.65287e-07, 0.00523102
4.66247e-07, 0.00523821
4.67207e-07, 0.00526773
4.68167e-07, 0.00527608
4.69127e-07, 0.00523606
4.70087e-07, 0.0051165
4.71047e-07, 0.00494941
4.72007e-07, 0.00474216
4.72967e-07, 0.00455831
4.73927e-07, 0.00442382
4.74887e-07, 0.00440064
4.75848e-07, 0.00446175
