Wavelength (nm),Absorbance,Color,Concentration,Smoothed Absorbance,webcolor
551.0373443983402,0.1413934426229508,black,0,0.14049796357498132,#000000
551.5560165975104,0.1413934426229508,black,0,0.1408569882874901,#000000
552.0746887966804,0.1413934426229508,black,0,0.14121805431829365,#000000
552.5933609958506,0.14221311475409837,black,0,0.1415812348869179,#000000
553.1120331950208,0.14221311475409837,black,0,0.14194657751926207,#000000
553.6307053941908,0.14221311475409837,black,0,0.14231408523715045,#000000
554.149377593361,0.1430327868852459,black,0,0.14268372909037913,#000000
554.6680497925311,0.1430327868852459,black,0,0.14305546478861933,#000000
555.1867219917012,0.1430327868852459,black,0,0.143429212407996,#000000
555.7053941908714,0.14385245901639343,black,0,0.1438048694025134,#000000
556.2240663900415,0.14385245901639343,black,0,0.14418232556377242,#000000
556.7427385892116,0.14385245901639343,black,0,0.14456144054551232,#000000
557.2614107883817,0.144672131147541,black,0,0.14494204935627006,#000000
557.7800829875519,0.144672131147541,black,0,0.1453239656726817,#000000
558.298755186722,0.14549180327868852,black,0,0.14570695333129713,#000000
558.8174273858921,0.14549180327868852,black,0,0.14609073235602305,#000000
559.3360995850622,0.14549180327868852,black,0,0.14647506958225961,#000000
559.8547717842324,0.14631147540983605,black,0,0.14686038278514515,#000000
560.3734439834025,0.14631147540983605,black,0,0.14724962940994848,#000000
560.8921161825726,0.1471311475409836,black,0,0.1476885263678545,#000000
561.4107883817427,0.14795081967213114,black,0,0.1481387200326068,#000000
561.9294605809129,0.14795081967213114,black,0,0.14860047556691727,#000000
562.448132780083,0.14877049180327867,black,0,0.14907419386608525,#000000
562.9668049792531,0.14959016393442623,black,0,0.14956040483850752,#000000
563.4854771784233,0.14959016393442623,black,0,0.15005961466202808,#000000
564.0041493775934,0.15040983606557376,black,0,0.15057183860018003,#000000
564.5228215767635,0.15122950819672132,black,0,0.15109666723542586,#000000
565.0414937759336,0.15122950819672132,black,0,0.15163366972555137,#000000
565.5601659751037,0.15204918032786885,black,0,0.15218240277247677,#000000
566.0788381742739,0.15286885245901638,black,0,0.1527421147337641,#000000
566.597510373444,0.15286885245901638,black,0,0.15331182682279273,#000000
567.1161825726141,0.15368852459016394,black,0,0.15389046578488497,#000000
567.6348547717843,0.15450819672131147,black,0,0.1544767699241337,#000000
568.1535269709543,0.15450819672131147,black,0,0.15506974543188548,#000000
568.6721991701245,0.155327868852459,black,0,0.15566848797579297,#000000
569.1908713692947,0.15614754098360656,black,0,0.1562723300270526,#000000
569.7095435684647,0.1569672131147541,black,0,0.1568809730775098,#000000
570.2282157676349,0.1569672131147541,black,0,0.15749427289942808,#000000
570.7468879668049,0.15778688524590162,black,0,0.15811258555982566,#000000
571.2655601659751,0.15860655737704918,black,0,0.1587369918637436,#000000
571.7842323651453,0.1594262295081967,black,0,0.1593690547722531,#000000
572.3029045643153,0.16024590163934427,black,0,0.1600106425000764,#000000
572.8215767634855,0.16024590163934427,black,0,0.16066324018177547,#000000
573.3402489626556,0.1610655737704918,black,0,0.16132778375251816,#000000
