

lambda(m), Y
6.05461e-07, 0.0918903
6.06421e-07, 0.090828
6.07381e-07, 0.0893405
6.08341e-07, 0.08731
6.09301e-07, 0.0847023
6.10261e-07, 0.0815382
6.11221e-07, 0.0778598
6.12181e-07, 0.0736589
6.13141e-07, 0.0690815
6.14101e-07, 0.0642569
6.15062e-07, 0.05947
6.16022e-07, 0.0552164
6.16982e-07, 0.0522401
6.17942e-07, 0.0510878
6.18902e-07, 0.0518261
6.19862e-07, 0.0541228
6.20822e-07, 0.0575419
6.21782e-07, 0.0619241
6.22742e-07, 0.0673974
6.23702e-07, 0.0741024
6.24662e-07, 0.0819304
6.25623e-07, 0.0902648
6.26583e-07, 0.098388
6.27543e-07, 0.105748
6.28503e-07, 0.112323
6.29463e-07, 0.118355
6.30423e-07, 0.123861
6.31383e-07, 0.128622
6.32343e-07, 0.132278
6.33303e-07, 0.134615
6.34263e-07, 0.135626
6.35224e-07, 0.135574
6.36184e-07, 0.134796
6.37144e-07, 0.133433
6.38104e-07, 0.13145
6.39064e-07, 0.128571
6.40024e-07, 0.12458
6.40984e-07, 0.11957
6.41944e-07, 0.113631
6.42904e-07, 0.106761
6.43864e-07, 0.0990183
6.44824e-07, 0.0905879
6.45785e-07, 0.0820868
6.46745e-07, 0.0748748
6.47705e-07, 0.0706118
6.48665e-07, 0.070082
6.49625e-07, 0.0728177
6.50585e-07, 0.0778266
6.51545e-07, 0.0838965
6.52505e-07, 0.089853
6.53465e-07, 0.0953084
6.54425e-07, 0.100783
6.55386e-07, 0.107153
6.56346e-07, 0.115154
6.57306e-07, 0.125075
6.58266e-07, 0.136365
6.59226e-07, 0.14771
6.60186e-07, 0.157852
6.61146e-07, 0.166347
6.62106e-07, 0.173604
6.63066e-07, 0.180059
6.64026e-07, 0.185589
6.64986e-07, 0.189868
6.65947e-07, 0.192864
6.66907e-07, 0.194717
6.67867e-07, 0.195457
6.68827e-07, 0.195153
6.69787e-07, 0.194212
6.70747e-07, 0.193289
6.71707e-07, 0.192501
6.72667e-07, 0.191012
6.73627e-07, 0.187805
6.74587e-07, 0.182342
6.75548e-07, 0.174994
6.76508e-07, 0.167941
6.77468e-07, 0.164168
6.78428e-07, 0.164021
6.79388e-07, 0.16502
6.80348e-07, 0.16507
6.81308e-07, 0.163625
6.82268e-07, 0.160788
6.83228e-07, 0.156746
6.84188e-07, 0.151957
6.85149e-07, 0.147518
6.86109e-07, 0.144822
6.87069e-07, 0.14447
6.88029e-07, 0.146087
6.88989e-07, 0.149001
6.89949e-07, 0.152772
6.90909e-07, 0.157518
6.91869e-07, 0.163692
6.92829e-07, 0.171207
6.93789e-07, 0.179412
6.94749e-07, 0.188162
6.9571e-07, 0.19762
6.9667e-07, 0.207593
6.9763e-07, 0.217562
6.9859e-07, 0.226558
6.9955e-07, 0.233689
7.0051e-07, 0.239686
7.0147e-07, 0.246724
7.0243e-07, 0.254963
7.0339e-07, 0.262252
7.0435e-07, 0.267626
7.05311e-07, 0.271967
7.06271e-07, 0.276256
7.07231e-07, 0.280463
7.08191e-07, 0.283927
7.09151e-07, 0.286503
7.10111e-07, 0.288599
7.11071e-07, 0.290592
7.12031e-07, 0.29238
7.12991e-07, 0.293594
7.13951e-07, 0.294089
7.14911e-07, 0.293775
7.15872e-07, 0.292331
7.16832e-07, 0.289311
7.17792e-07, 0.28494
7.18752e-07, 0.280204
7.19712e-07, 0.27525
7.20672e-07, 0.268952
7.21632e-07, 0.260378
7.22592e-07, 0.250085
7.23552e-07, 0.240864
7.24512e-07, 0.235518
7.25473e-07, 0.232923
7.26433e-07, 0.229869
7.27393e-07, 0.225224
7.28353e-07, 0.220388
7.29313e-07, 0.217498
7.30273e-07, 0.21714
7.31233e-07, 0.218355
7.32193e-07, 0.220066
7.33153e-07, 0.221591
7.34113e-07, 0.222762
7.35074e-07, 0.22406
7.36034e-07, 0.226954
7.36994e-07, 0.23328
7.37954e-07, 0.242197
7.38914e-07, 0.250944
7.39874e-07, 0.258316
7.40834e-07, 0.264625
7.41794e-07, 0.272039
7.42754e-07, 0.283444
7.43714e-07, 0.2979
7.44674e-07, 0.311593
7.45635e-07, 0.322237
7.46595e-07, 0.329238
7.47555e-07, 0.332412
7.48515e-07, 0.330649
7.49475e-07, 0.322486
7.50435e-07, 0.308405
7.51395e-07, 0.288503
7.52355e-07, 0.275756
7.53315e-07, 0.282287
7.54275e-07, 0.306019
7.55236e-07, 0.332092
7.56196e-07, 0.350867
7.57156e-07, 0.360889
7.58116e-07, 0.364851
7.59076e-07, 0.366571
7.60036e-07, 0.368464
7.60996e-07, 0.370506
7.61956e-07, 0.372667
7.62916e-07, 0.375164
7.63876e-07, 0.376876
7.64836e-07, 0.376637
7.65797e-07, 0.373807
7.66757e-07, 0.36816
7.67717e-07, 0.359945
7.68677e-07, 0.350293
7.69637e-07, 0.340264
7.70597e-07, 0.328434
7.71557e-07, 0.313722
7.72517e-07, 0.298787
7.73477e-07, 0.286568
7.74437e-07, 0.277765
7.75398e-07, 0.27301
7.76358e-07, 0.272831
7.77318e-07, 0.2761
7.78278e-07, 0.28044
7.79238e-07, 0.282949
7.80198e-07, 0.282522
7.81158e-07, 0.279903
7.82118e-07, 0.275961
7.83078e-07, 0.270932
7.84038e-07, 0.264617
7.84998e-07, 0.2574
7.85959e-07, 0.251349
7.86919e-07, 0.248607
7.87879e-07, 0.247891
7.88839e-07, 0.245381
7.89799e-07, 0.237716
7.90759e-07, 0.223306
7.91719e-07, 0.203307
7.92679e-07, 0.183899
7.93639e-07, 0.171559
7.94599e-07, 0.160705
7.9556e-07, 0.147574
7.9652e-07, 0.145141
7.9748e-07, 0.163289
7.9844e-07, 0.196905
7.994e-07, 0.238228
8.0036e-07, 0.278857
8.0132e-07, 0.312123
8.0228e-07, 0.334924
8.0324e-07, 0.345801
8.042e-07, 0.344971
8.05161e-07, 0.338438
8.06121e-07, 0.337562
8.07081e-07, 0.344012
8.08041e-07, 0.356397
8.09001e-07, 0.377424
8.09961e-07, 0.400074
8.10921e-07, 0.4177
8.11881e-07, 0.429316
8.12841e-07, 0.435318
8.13801e-07, 0.4353
8.14761e-07, 0.43001
8.15722e-07, 0.424887
8.16682e-07, 0.425757
8.17642e-07, 0.430938
8.18602e-07, 0.434364
8.19562e-07, 0.432277
8.20522e-07, 0.425915
8.21482e-07, 0.419599
8.22442e-07, 0.415141
8.23402e-07, 0.414349
8.24362e-07, 0.421103
8.25323e-07, 0.436152
8.26283e-07, 0.453889
8.27243e-07, 0.468021
8.28203e-07, 0.476029
8.29163e-07, 0.478091
8.30123e-07, 0.475057
8.31083e-07, 0.467454
8.32043e-07, 0.455124
8.33003e-07, 0.437169
8.33963e-07, 0.412749
8.34923e-07, 0.383835
8.35884e-07, 0.354717
8.36844e-07, 0.324827
8.37804e-07, 0.291887
8.38764e-07, 0.257721
8.39724e-07, 0.227351
8.40684e-07, 0.200765
8.41644e-07, 0.172767
8.42604e-07, 0.145252
8.43564e-07, 0.135153
8.44524e-07, 0.159794
8.45485e-07, 0.208423
8.46445e-07, 0.25286
8.47405e-07, 0.27867
8.48365e-07, 0.288965
8.49325e-07, 0.296183
8.50285e-07, 0.309868
8.51245e-07, 0.327894
8.52205e-07, 0.342943
8.53165e-07, 0.350126
8.54125e-07, 0.348248
8.55086e-07, 0.338806
8.56046e-07, 0.323995
8.57006e-07, 0.305787
8.57966e-07, 0.285568
8.58926e-07, 0.268013
8.59886e-07, 0.266465
8.60846e-07, 0.289519
8.61806e-07, 0.32829
8.62766e-07, 0.366424
8.63726e-07, 0.393992
8.64686e-07, 0.409801
8.65647e-07, 0.418256
8.66607e-07, 0.42389
8.67567e-07, 0.42946
8.68527e-07, 0.437466
8.69487e-07, 0.447701
8.70447e-07, 0.455982
8.71407e-07, 0.457756
8.72367e-07, 0.452347
8.73327e-07, 0.448552
8.74287e-07, 0.456761
8.75248e-07, 0.47055
8.76208e-07, 0.484422
8.77168e-07, 0.495609
8.78128e-07, 0.501497
8.79088e-07, 0.502026
8.80048e-07, 0.497718
8.81008e-07, 0.48908
8.81968e-07, 0.477756
8.82928e-07, 0.466735
8.83888e-07, 0.455974
8.84848e-07, 0.441584
8.85809e-07, 0.42213
8.86769e-07, 0.403028
8.87729e-07, 0.396226
8.88689e-07, 0.411386
8.89649e-07, 0.443587
8.90609e-07, 0.477624
8.91569e-07, 0.503221
8.92529e-07, 0.5189
8.93489e-07, 0.525637
8.94449e-07, 0.527042
8.9541e-07, 0.53165
8.9637e-07, 0.543147
8.9733e-07, 0.556314
8.9829e-07, 0.566694
8.9925e-07, 0.573488
9.0021e-07, 0.577783
9.0117e-07, 0.581045
9.0213e-07, 0.583292
9.0309e-07, 0.583901
9.0405e-07, 0.582958
9.05011e-07, 0.580777
9.05971e-07, 0.577485
9.06931e-07, 0.572898
9.07891e-07, 0.566359
9.08851e-07, 0.557166
9.09811e-07, 0.545361
9.10771e-07, 0.53134
9.11731e-07, 0.51524
9.12691e-07, 0.496792
9.13651e-07, 0.475488
9.14611e-07, 0.450883
9.15572e-07, 0.42155
9.16532e-07, 0.386476
9.17492e-07, 0.350609
9.18452e-07, 0.3321
9.19412e-07, 0.350274
9.20372e-07, 0.393227
9.21332e-07, 0.431323
9.22292e-07, 0.45135
9.23252e-07, 0.454755
9.24212e-07, 0.447323
9.25173e-07, 0.435868
9.26133e-07, 0.430126
9.27093e-07, 0.43784
9.28053e-07, 0.455805
9.29013e-07, 0.474332
9.29973e-07, 0.487
9.30933e-07, 0.491339
9.31893e-07, 0.486772
9.32853e-07, 0.472833
9.33813e-07, 0.450404
9.34773e-07, 0.423694
9.35734e-07, 0.398048
9.36694e-07, 0.37558
9.37654e-07, 0.353878
9.38614e-07, 0.338496
9.39574e-07, 0.339616
9.40534e-07, 0.355833
9.41494e-07, 0.376856
9.42454e-07, 0.394226
9.43414e-07, 0.404343
9.44374e-07, 0.407696
9.45335e-07, 0.406818
9.46295e-07, 0.403334
9.47255e-07, 0.397368
9.48215e-07, 0.386945
9.49175e-07, 0.369655
9.50135e-07, 0.34551
9.51095e-07, 0.315518
9.52055e-07, 0.281798
9.53015e-07, 0.24689
9.53975e-07, 0.213212
9.54935e-07, 0.184498
9.55896e-07, 0.165724
9.56856e-07, 0.163816
9.57816e-07, 0.176112
9.58776e-07, 0.188357
9.59736e-07, 0.217612
9.60696e-07, 0.269234
9.61656e-07, 0.314076
9.62616e-07, 0.338516
9.63576e-07, 0.34178
9.64536e-07, 0.331488
9.65497e-07, 0.324102
9.66457e-07, 0.339444
9.67417e-07, 0.382109
9.68377e-07, 0.437485
9.69337e-07, 0.49048
9.70297e-07, 0.534603
9.71257e-07, 0.569493
9.72217e-07, 0.597086
9.73177e-07, 0.6191
9.74137e-07, 0.636976
9.75098e-07, 0.651842
9.76058e-07, 0.663815
9.77018e-07, 0.673965
9.77978e-07, 0.6822
9.78938e-07, 0.688808
9.79898e-07, 0.692605
9.80858e-07, 0.691276
9.81818e-07, 0.680879
9.82778e-07, 0.656497
9.83738e-07, 0.646508
9.84698e-07, 0.650455
9.85659e-07, 0.634495
9.86619e-07, 0.6285
9.87579e-07, 0.644705
9.88539e-07, 0.654143
9.89499e-07, 0.652668
9.90459e-07, 0.64195
9.91419e-07, 0.622861
9.92379e-07, 0.595554
9.93339e-07, 0.560694
9.94299e-07, 0.523058
9.9526e-07, 0.494044
9.9622e-07, 0.48864
9.9718e-07, 0.505021
9.9814e-07, 0.526245
9.991e-07, 0.53218
1.00006e-06, 0.492987
1.00102e-06, 0.394212
1.00198e-06, 0.376085
1.00294e-06, 0.465861
1.0039e-06, 0.532336
1.00486e-06, 0.559013
1.00582e-06, 0.559635
1.00678e-06, 0.55687
1.00774e-06, 0.565963
1.0087e-06, 0.568935
1.00966e-06, 0.558359
1.01062e-06, 0.535395
1.01158e-06, 0.498873
1.01254e-06, 0.445213
1.0135e-06, 0.383401
1.01446e-06, 0.356828
1.01542e-06, 0.395897
1.01638e-06, 0.45595
1.01734e-06, 0.501403
1.0183e-06, 0.531698
1.01926e-06, 0.553964
1.02022e-06, 0.57376
1.02118e-06, 0.59317
1.02214e-06, 0.612005
1.0231e-06, 0.628106
1.02406e-06, 0.639667
1.02502e-06, 0.645601
1.02598e-06, 0.645932
1.02694e-06, 0.641426
1.0279e-06, 0.633025
1.02886e-06, 0.622527
1.02982e-06, 0.611389
1.03078e-06, 0.601792
1.03174e-06, 0.594042
1.0327e-06, 0.588142
1.03366e-06, 0.581489
1.03462e-06, 0.573672
1.03558e-06, 0.574312
1.03654e-06, 0.597347
1.0375e-06, 0.619731
1.03846e-06, 0.628576
1.03942e-06, 0.62555
1.04038e-06, 0.612961
1.04134e-06, 0.595264
1.0423e-06, 0.579594
1.04326e-06, 0.569084
1.04422e-06, 0.563835
1.04518e-06, 0.563172
1.04614e-06, 0.568187
1.0471e-06, 0.57917
1.04806e-06, 0.594423
1.04902e-06, 0.609734
1.04998e-06, 0.621898
1.05095e-06, 0.629323
1.05191e-06, 0.632207
1.05287e-06, 0.630917
1.05383e-06, 0.62604
1.05479e-06, 0.61867
1.05575e-06, 0.613238
1.05671e-06, 0.619896
1.05767e-06, 0.640766
1.05863e-06, 0.659474
1.05959e-06, 0.666689
1.06055e-06, 0.663532
1.06151e-06, 0.648843
1.06247e-06, 0.617506
1.06343e-06, 0.569129
1.06439e-06, 0.539293
1.06535e-06, 0.553485
1.06631e-06, 0.578934
1.06727e-06, 0.596129
1.06823e-06, 0.603359
1.06919e-06, 0.603557
1.07015e-06, 0.59842
1.07111e-06, 0.59061
1.07207e-06, 0.582562
1.07303e-06, 0.577723
1.07399e-06, 0.578657
