lambda,signal,smoothed_signal
4e-07,0.0423184,0.04110303544293022
4.0096e-07,0.0414629,0.040882135878030405
4.0192e-07,0.0406288,0.040403889466497006
4.0288e-07,0.0398209,0.03973820890630576
4.0384e-07,0.0389913,0.038973376721004226
4.048e-07,0.0381633,0.038172235444912384
4.05761e-07,0.0373339,0.037367764379541646
4.06721e-07,0.0365162,0.03657850091663111
4.07681e-07,0.0357552,0.03581625934595842
4.08641e-07,0.0350154,0.03508158381252425
4.09601e-07,0.0343251,0.0343749974457577
4.10561e-07,0.033665,0.033691477649374454
4.11521e-07,0.0330003,0.03302495362264205
4.12481e-07,0.0323452,0.032374947340493614
4.13441e-07,0.0316971,0.03174353416756508
4.14401e-07,0.0310632,0.031135949559865917
4.15362e-07,0.0304702,0.03055892995409222
4.16322e-07,0.029926,0.03001577820074564
4.17282e-07,0.0294234,0.029505210428833754
4.18242e-07,0.0289629,0.029022605092965267
4.19202e-07,0.0285387,0.028560201549042426
4.20162e-07,0.028118,0.028107886031017704
4.21122e-07,0.0276838,0.027657397580847
4.22082e-07,0.0272297,0.027203005004041988
4.23042e-07,0.0267512,0.026743070123129674
4.24002e-07,0.0262816,0.026278567875218303
4.24962e-07,0.0257981,0.02580976818594179
4.25923e-07,0.0253548,0.025337144868433956
4.26883e-07,0.0249041,0.024856113608922155
4.27843e-07,0.0244134,0.02436252444771898
4.28803e-07,0.0239279,0.023859255143413128
4.29763e-07,0.023326,0.023349738059454894
4.30723e-07,0.0226808,0.02285774544809198
4.31683e-07,0.0222594,0.022411736438449587
4.32643e-07,0.0218811,0.022014068216303837
4.33603e-07,0.0215417,0.02166206849703082
4.34563e-07,0.0212432,0.021354988299163245
4.35524e-07,0.0209852,0.0210863209238498
4.36484e-07,0.0207644,0.020851695800403827
4.37444e-07,0.0205764,0.020643648659828054
4.38404e-07,0.0204148,0.020456142959886986
4.39364e-07,0.0202683,0.02028278276709397
4.40324e-07,0.0201212,0.020118460268797215
4.41284e-07,0.0199623,0.019959628633891696
4.42244e-07,0.0197938,0.019804536120796024
4.43204e-07,0.0196292,0.01965259572121817
4.44164e-07,0.0194813,0.019503131483806304
4.45125e-07,0.0193516,0.019354341206713588
4.46085e-07,0.0192287,0.01920298844073213
4.47045e-07,0.0190943,0.019044976510786585
4.48005e-07,0.0189338,0.01887628767770917
4.48965e-07,0.0187449,0.018694019232902682
4.49925e-07,0.018538,0.018496901514341777
4.50885e-07,0.0183248,0.018285024605640247
4.51845e-07,0.0181034,0.018059133493224706
4.52805e-07,0.0178602,0.017820432396892946
4.53765e-07,0.0175927,0.017571304523405964
4.54725e-07,0.0173193,0.01731567587519459
4.55686e-07,0.0170515,0.01705813184025704
4.56646e-07,0.0167832,0.016803227233361535
4.57606e-07,0.0165197,0.016555734980949477
4.58566e-07,0.0162713,0.01632017826566497
4.59526e-07,0.0160341,0.016099426702436068
4.60486e-07,0.0158237,0.01589507650140892
4.61446e-07,0.0156587,0.015706166055639167
4.62406e-07,0.0155118,0.01552953394287797
4.63366e-07,0.0153677,0.015363277460384323
4.64326e-07,0.0152156,0.015206935283383375
4.65287e-07,0.0150275,0.015066051491511804
4.66247e-07,0.0148361,0.014949672072530236
4.67207e-07,0.0146739,0.014867096817537178
4.68167e-07,0.0145872,0.014825323536475515
4.69127e-07,0.0146234,0.014816708223741521
4.70087e-07,0.0147535,0.01483928288932324
4.71047e-07,0.0149334,0.014874379973585618
4.72007e-07,0.0150677,0.014913577161845583
4.72967e-07,0.0151093,0.014940077127390388
4.73927e-07,0.0150447,0.014962975679526537
4.74887e-07,0.014928,0.014982502089722528
4.75848e-07,0.0148247,0.015022284756504122
4.76808e-07,0.0148159,0.015089727021030248
4.77768e-07,0.0149308,0.015205526770745865
4.78728e-07,0.0151855,0.015369849624094833
4.79688e-07,0.0155257,0.015573710963019998
4.80648e-07,0.0158926,0.015786777481129742
4.81608e-07,0.0162105,0.015974591010629553
4.82568e-07,0.0164075,0.016112186802567003
4.83528e-07,0.0164776,0.016192878702507543
4.84488e-07,0.0164228,0.01622471057868579
4.85449e-07,0.0162829,0.01622366417175544
