

lambda(m), Y
4e-07, 0.268643
4.0048e-07, 0.268332
4.0096e-07, 0.26808
4.0144e-07, 0.267762
4.0192e-07, 0.267495
4.024e-07, 0.267495
4.0288e-07, 0.267757
4.0336e-07, 0.26801
4.0384e-07, 0.268021
4.0432e-07, 0.267848
4.048e-07, 0.267708
4.05281e-07, 0.267665
4.05761e-07, 0.267572
4.06241e-07, 0.267322
4.06721e-07, 0.267023
4.07201e-07, 0.266878
4.07681e-07, 0.266955
4.08161e-07, 0.267108
4.08641e-07, 0.267144
4.09121e-07, 0.267075
4.09601e-07, 0.267101
4.10081e-07, 0.267262
4.10561e-07, 0.267276
4.11041e-07, 0.26695
4.11521e-07, 0.266564
4.12001e-07, 0.26644
4.12481e-07, 0.266356
4.12961e-07, 0.26594
4.13441e-07, 0.265423
4.13921e-07, 0.265255
4.14401e-07, 0.26521
4.14881e-07, 0.264794
4.15362e-07, 0.26421
4.15842e-07, 0.263933
4.16322e-07, 0.263731
4.16802e-07, 0.263162
4.17282e-07, 0.262484
4.17762e-07, 0.262118
4.18242e-07, 0.261834
4.18722e-07, 0.261316
4.19202e-07, 0.260792
4.19682e-07, 0.260523
4.20162e-07, 0.260312
4.20642e-07, 0.259909
4.21122e-07, 0.259448
4.21602e-07, 0.25917
4.22082e-07, 0.258949
4.22562e-07, 0.258501
4.23042e-07, 0.258019
4.23522e-07, 0.257842
4.24002e-07, 0.25768
4.24482e-07, 0.257247
4.24962e-07, 0.256982
4.25443e-07, 0.257012
4.25923e-07, 0.256773
4.26403e-07, 0.256335
4.26883e-07, 0.256215
4.27363e-07, 0.256097
4.27843e-07, 0.255628
4.28323e-07, 0.255331
4.28803e-07, 0.255381
4.29283e-07, 0.255251
4.29763e-07, 0.255093
4.30243e-07, 0.255412
4.30723e-07, 0.255789
4.31203e-07, 0.25591
4.31683e-07, 0.256332
4.32163e-07, 0.256898
4.32643e-07, 0.257056
4.33123e-07, 0.257232
4.33603e-07, 0.257544
4.34083e-07, 0.25754
4.34563e-07, 0.257408
4.35044e-07, 0.25742
4.35524e-07, 0.257448
4.36004e-07, 0.257281
4.36484e-07, 0.257274
4.36964e-07, 0.257615
4.37444e-07, 0.257558
4.37924e-07, 0.257691
4.38404e-07, 0.258177
4.38884e-07, 0.257984
4.39364e-07, 0.258067
4.39844e-07, 0.258092
4.40324e-07, 0.257607
4.40804e-07, 0.257284
4.41284e-07, 0.256688
4.41764e-07, 0.256234
4.42244e-07, 0.255358
4.42724e-07, 0.255075
4.43204e-07, 0.254616
4.43684e-07, 0.254048
4.44164e-07, 0.254389
4.44644e-07, 0.253923
4.45125e-07, 0.254386
4.45605e-07, 0.254213
4.46085e-07, 0.254816
4.46565e-07, 0.254212
4.47045e-07, 0.25508
4.47525e-07, 0.254016
4.48005e-07, 0.254648
4.48485e-07, 0.253502
4.48965e-07, 0.253575
4.49445e-07, 0.253513
4.49925e-07, 0.250475
4.50405e-07, 0.248986
4.50885e-07, 0.249067
4.51365e-07, 0.249392
4.51845e-07, 0.249622
4.52325e-07, 0.250303
4.52805e-07, 0.250717
4.53285e-07, 0.250982
4.53765e-07, 0.251405
4.54245e-07, 0.251285
4.54725e-07, 0.251109
4.55206e-07, 0.250865
4.55686e-07, 0.25013
4.56166e-07, 0.249607
4.56646e-07, 0.248937
4.57126e-07, 0.248148
4.57606e-07, 0.247779
4.58086e-07, 0.247244
4.58566e-07, 0.246981
4.59046e-07, 0.247001
4.59526e-07, 0.246841
4.60006e-07, 0.247061
4.60486e-07, 0.247147
4.60966e-07, 0.247116
4.61446e-07, 0.24725
4.61926e-07, 0.246951
4.62406e-07, 0.246716
4.62886e-07, 0.246344
4.63366e-07, 0.2457
4.63846e-07, 0.245309
4.64326e-07, 0.244707
4.64806e-07, 0.244336
4.65287e-07, 0.244238
4.65767e-07, 0.244169
4.66247e-07, 0.244674
4.66727e-07, 0.245282
4.67207e-07, 0.246245
4.67687e-07, 0.247597
4.68167e-07, 0.248906
4.68647e-07, 0.250647
4.69127e-07, 0.25225
4.69607e-07, 0.253927
4.70087e-07, 0.255685
4.70567e-07, 0.257113
4.71047e-07, 0.258778
4.71527e-07, 0.26008
4.72007e-07, 0.261468
4.72487e-07, 0.262834
4.72967e-07, 0.263976
4.73447e-07, 0.265436
4.73927e-07, 0.266527
4.74407e-07, 0.267925
4.74887e-07, 0.269108
4.75368e-07, 0.270237
4.75848e-07, 0.271428
4.76328e-07, 0.272148
4.76808e-07, 0.273053
4.77288e-07, 0.273324
4.77768e-07, 0.273627
4.78248e-07, 0.273465
4.78728e-07, 0.273028
4.79208e-07, 0.272474
4.79688e-07, 0.271406
4.80168e-07, 0.270511
4.80648e-07, 0.269086
4.81128e-07, 0.267917
4.81608e-07, 0.266415
4.82088e-07, 0.26505
4.82568e-07, 0.263635
4.83048e-07, 0.262138
4.83528e-07, 0.260801
4.84008e-07, 0.259184
4.84488e-07, 0.257773
4.84968e-07, 0.255985
4.85449e-07, 0.254302
4.85929e-07, 0.252265
4.86409e-07, 0.250175
4.86889e-07, 0.247856
4.87369e-07, 0.245383
4.87849e-07, 0.242864
4.88329e-07, 0.240205
4.88809e-07, 0.237691
4.89289e-07, 0.235165
4.89769e-07, 0.232939
4.90249e-07, 0.230886
4.90729e-07, 0.229215
4.91209e-07, 0.227886
4.91689e-07, 0.226938
4.92169e-07, 0.226429
4.92649e-07, 0.226229
4.93129e-07, 0.22647
4.93609e-07, 0.226906
4.94089e-07, 0.227714
4.94569e-07, 0.228612
4.9505e-07, 0.229786
4.9553e-07, 0.23099
4.9601e-07, 0.232393
4.9649e-07, 0.233832
4.9697e-07, 0.235429
4.9745e-07, 0.237122
4.9793e-07, 0.238959
4.9841e-07, 0.240972
4.9889e-07, 0.24312
4.9937e-07, 0.245507
4.9985e-07, 0.247998
5.0033e-07, 0.250742
5.0081e-07, 0.253521
5.0129e-07, 0.25651
5.0177e-07, 0.259424
5.0225e-07, 0.262457
5.0273e-07, 0.265284
5.0321e-07, 0.268121
5.0369e-07, 0.270635
5.0417e-07, 0.273071
5.0465e-07, 0.275108
5.05131e-07, 0.277021
5.05611e-07, 0.278516
5.06091e-07, 0.279892
5.06571e-07, 0.280878
5.07051e-07, 0.281794
5.07531e-07, 0.282382
5.08011e-07, 0.282979
5.08491e-07, 0.283327
5.08971e-07, 0.283771
5.09451e-07, 0.284038
5.09931e-07, 0.284476
5.10411e-07, 0.284773
5.10891e-07, 0.285271
5.11371e-07, 0.285616
5.11851e-07, 0.286118
5.12331e-07, 0.286411
5.12811e-07, 0.286748
5.13291e-07, 0.286798
5.13771e-07, 0.286734
5.14251e-07, 0.286325
5.14731e-07, 0.285646
5.15212e-07, 0.284627
5.15692e-07, 0.283242
5.16172e-07, 0.281592
5.16652e-07, 0.279577
5.17132e-07, 0.27742
5.17612e-07, 0.275001
5.18092e-07, 0.272554
5.18572e-07, 0.270009
5.19052e-07, 0.267493
5.19532e-07, 0.26505
5.20012e-07, 0.262623
5.20492e-07, 0.260381
5.20972e-07, 0.258111
5.21452e-07, 0.256031
5.21932e-07, 0.253916
5.22412e-07, 0.25188
5.22892e-07, 0.249869
5.23372e-07, 0.247765
5.23852e-07, 0.245777
5.24332e-07, 0.243577
5.24812e-07, 0.241539
5.25293e-07, 0.239324
5.25773e-07, 0.237233
5.26253e-07, 0.235162
5.26733e-07, 0.23314
5.27213e-07, 0.231377
5.27693e-07, 0.229659
5.28173e-07, 0.228326
5.28653e-07, 0.227176
5.29133e-07, 0.226356
5.29613e-07, 0.225933
5.30093e-07, 0.225709
5.30573e-07, 0.225983
5.31053e-07, 0.22646
5.31533e-07, 0.22726
5.32013e-07, 0.228462
5.32493e-07, 0.229696
5.32973e-07, 0.231406
5.33453e-07, 0.233168
5.33933e-07, 0.235069
5.34413e-07, 0.237301
5.34893e-07, 0.239391
5.35374e-07, 0.241644
5.35854e-07, 0.244039
5.36334e-07, 0.246132
5.36814e-07, 0.248329
5.37294e-07, 0.250569
5.37774e-07, 0.252285
5.38254e-07, 0.254069
5.38734e-07, 0.25588
5.39214e-07, 0.257215
5.39694e-07, 0.258003
5.40174e-07, 0.258798
5.40654e-07, 0.259793
5.41134e-07, 0.260589
5.41614e-07, 0.261141
5.42094e-07, 0.261404
5.42574e-07, 0.261468
5.43054e-07, 0.261219
5.43534e-07, 0.260757
5.44014e-07, 0.260011
5.44494e-07, 0.259018
5.44974e-07, 0.257827
5.45455e-07, 0.256391
5.45935e-07, 0.254887
5.46415e-07, 0.253239
5.46895e-07, 0.251668
5.47375e-07, 0.250162
5.47855e-07, 0.248873
5.48335e-07, 0.247907
5.48815e-07, 0.247275
5.49295e-07, 0.247156
5.49775e-07, 0.247453
5.50255e-07, 0.248299
5.50735e-07, 0.249585
5.51215e-07, 0.251296
5.51695e-07, 0.253386
5.52175e-07, 0.25569
5.52655e-07, 0.258209
5.53135e-07, 0.260737
5.53615e-07, 0.263249
5.54095e-07, 0.265628
5.54575e-07, 0.267788
5.55056e-07, 0.269737
5.55536e-07, 0.271388
5.56016e-07, 0.272807
5.56496e-07, 0.273982
5.56976e-07, 0.274955
5.57456e-07, 0.275787
5.57936e-07, 0.276478
5.58416e-07, 0.277092
5.58896e-07, 0.277619
5.59376e-07, 0.278057
5.59856e-07, 0.27842
5.60336e-07, 0.278653
5.60816e-07, 0.278766
5.61296e-07, 0.278722
5.61776e-07, 0.278486
5.62256e-07, 0.278081
5.62736e-07, 0.277444
5.63216e-07, 0.276604
5.63696e-07, 0.275547
5.64176e-07, 0.274245
5.64656e-07, 0.272766
5.65137e-07, 0.271055
5.65617e-07, 0.269172
5.66097e-07, 0.26714
5.66577e-07, 0.26494
5.67057e-07, 0.262679
5.67537e-07, 0.260325
5.68017e-07, 0.257952
5.68497e-07, 0.255622
5.68977e-07, 0.253326
5.69457e-07, 0.251186
5.69937e-07, 0.249195
5.70417e-07, 0.247415
5.70897e-07, 0.245914
5.71377e-07, 0.244671
5.71857e-07, 0.243764
5.72337e-07, 0.243168
5.72817e-07, 0.242888
5.73297e-07, 0.242936
5.73777e-07, 0.243254
5.74257e-07, 0.243851
5.74737e-07, 0.244668
5.75218e-07, 0.245684
5.75698e-07, 0.246872
5.76178e-07, 0.248173
5.76658e-07, 0.249602
5.77138e-07, 0.251084
5.77618e-07, 0.252623
5.78098e-07, 0.254202
5.78578e-07, 0.255747
5.79058e-07, 0.257314
5.79538e-07, 0.258811
5.80018e-07, 0.260236
5.80498e-07, 0.261623
5.80978e-07, 0.262846
5.81458e-07, 0.263995
5.81938e-07, 0.265014
5.82418e-07, 0.265833
5.82898e-07, 0.26657
5.83378e-07, 0.26708
5.83858e-07, 0.267414
5.84338e-07, 0.267618
