

lambda(m), Y
5.09451e-07, 0.257078
5.09931e-07, 0.2572
5.10411e-07, 0.257429
5.10891e-07, 0.257806
5.11371e-07, 0.257983
5.11851e-07, 0.258465
5.12331e-07, 0.258719
5.12811e-07, 0.259066
5.13291e-07, 0.259437
5.13771e-07, 0.259561
5.14251e-07, 0.259902
5.14731e-07, 0.259894
5.15212e-07, 0.260002
5.15692e-07, 0.259964
5.16172e-07, 0.25976
5.16652e-07, 0.259674
5.17132e-07, 0.259242
5.17612e-07, 0.258993
5.18092e-07, 0.258467
5.18572e-07, 0.257946
5.19052e-07, 0.257364
5.19532e-07, 0.25654
5.20012e-07, 0.255798
5.20492e-07, 0.254692
5.20972e-07, 0.253612
5.21452e-07, 0.252233
5.21932e-07, 0.250683
5.22412e-07, 0.248996
5.22892e-07, 0.246976
5.23372e-07, 0.244945
5.23852e-07, 0.242587
5.24332e-07, 0.240253
5.24812e-07, 0.23778
5.25293e-07, 0.235318
5.25773e-07, 0.232992
5.26253e-07, 0.230698
5.26733e-07, 0.228773
5.27213e-07, 0.226987
5.27693e-07, 0.225674
5.28173e-07, 0.224674
5.28653e-07, 0.224113
5.29133e-07, 0.22403
5.29613e-07, 0.224277
5.30093e-07, 0.225077
5.30573e-07, 0.226096
5.31053e-07, 0.22762
5.31533e-07, 0.229297
5.32013e-07, 0.231322
5.32493e-07, 0.233482
5.32973e-07, 0.235774
5.33453e-07, 0.238202
5.33933e-07, 0.240562
5.34413e-07, 0.243037
5.34893e-07, 0.245307
5.35374e-07, 0.247628
5.35854e-07, 0.249691
5.36334e-07, 0.251694
5.36814e-07, 0.253462
5.37294e-07, 0.255024
5.37774e-07, 0.256422
5.38254e-07, 0.257469
5.38734e-07, 0.258441
5.39214e-07, 0.258948
5.39694e-07, 0.259469
5.40174e-07, 0.259472
5.40654e-07, 0.259577
5.41134e-07, 0.259192
5.41614e-07, 0.258996
5.42094e-07, 0.258409
5.42574e-07, 0.258083
5.43054e-07, 0.257495
5.43534e-07, 0.257194
5.44014e-07, 0.256736
5.44494e-07, 0.256523
5.44974e-07, 0.256216
5.45455e-07, 0.25606
5.45935e-07, 0.255849
5.46415e-07, 0.255675
5.46895e-07, 0.255501
5.47375e-07, 0.255264
5.47855e-07, 0.255122
5.48335e-07, 0.254841
5.48815e-07, 0.254794
5.49295e-07, 0.254548
5.49775e-07, 0.254689
5.50255e-07, 0.254579
5.50735e-07, 0.25497
5.51215e-07, 0.25507
5.51695e-07, 0.255685
5.52175e-07, 0.256003
5.52655e-07, 0.256722
5.53135e-07, 0.257204
5.53615e-07, 0.257875
5.54095e-07, 0.258406
5.54575e-07, 0.258934
5.55056e-07, 0.259346
5.55536e-07, 0.259746
5.56016e-07, 0.25986
5.56496e-07, 0.260185
5.56976e-07, 0.259955
5.57456e-07, 0.260111
5.57936e-07, 0.259774
5.58416e-07, 0.259524
5.58896e-07, 0.259217
5.59376e-07, 0.258918
5.59856e-07, 0.258075
5.60336e-07, 0.257762
5.60816e-07, 0.257476
5.61296e-07, 0.257196
5.61776e-07, 0.256595
5.62256e-07, 0.256144
5.62736e-07, 0.255398
5.63216e-07, 0.254805
5.63696e-07, 0.253943
5.64176e-07, 0.253234
5.64656e-07, 0.252298
5.65137e-07, 0.251524
5.65617e-07, 0.250583
5.66097e-07, 0.249816
5.66577e-07, 0.248944
5.67057e-07, 0.248242
5.67537e-07, 0.247488
5.68017e-07, 0.246872
5.68497e-07, 0.246244
5.68977e-07, 0.245702
5.69457e-07, 0.245191
5.69937e-07, 0.244724
5.70417e-07, 0.244349
5.70897e-07, 0.243995
5.71377e-07, 0.243804
5.71857e-07, 0.243638
5.72337e-07, 0.243693
5.72817e-07, 0.243778
5.73297e-07, 0.244107
5.73777e-07, 0.244464
5.74257e-07, 0.245057
5.74737e-07, 0.245656
5.75218e-07, 0.246457
5.75698e-07, 0.247235
5.76178e-07, 0.248177
5.76658e-07, 0.249058
5.77138e-07, 0.250068
5.77618e-07, 0.250985
5.78098e-07, 0.252004
5.78578e-07, 0.252915
5.79058e-07, 0.253893
5.79538e-07, 0.254771
5.80018e-07, 0.255667
5.80498e-07, 0.256485
5.80978e-07, 0.257226
5.81458e-07, 0.25791
5.81938e-07, 0.258386
5.82418e-07, 0.258803
5.82898e-07, 0.258866
