

lambda(m), Y
4e-07, 0.249884
4.0048e-07, 0.249037
4.0096e-07, 0.248541
4.0144e-07, 0.24835
4.0192e-07, 0.248341
4.024e-07, 0.248357
4.0288e-07, 0.248256
4.0336e-07, 0.247945
4.0384e-07, 0.247414
4.0432e-07, 0.246724
4.048e-07, 0.246004
4.05281e-07, 0.245404
4.05761e-07, 0.245056
4.06241e-07, 0.245037
4.06721e-07, 0.245347
4.07201e-07, 0.245916
4.07681e-07, 0.246619
4.08161e-07, 0.247306
4.08641e-07, 0.247831
4.09121e-07, 0.248098
4.09601e-07, 0.248103
4.10081e-07, 0.247969
4.10561e-07, 0.247924
4.11041e-07, 0.248163
4.11521e-07, 0.248631
4.12001e-07, 0.248972
4.12481e-07, 0.249056
4.12961e-07, 0.249666
4.13441e-07, 0.251215
4.13921e-07, 0.250811
4.14401e-07, 0.250851
4.14881e-07, 0.246692
4.15362e-07, 0.246518
4.15842e-07, 0.246756
4.16322e-07, 0.246966
4.16802e-07, 0.247154
4.17282e-07, 0.247364
4.17762e-07, 0.247625
4.18242e-07, 0.24794
4.18722e-07, 0.248282
4.19202e-07, 0.248602
4.19682e-07, 0.24884
4.20162e-07, 0.248938
4.20642e-07, 0.248856
4.21122e-07, 0.24858
4.21602e-07, 0.248127
4.22082e-07, 0.247542
4.22562e-07, 0.246892
4.23042e-07, 0.246244
4.23522e-07, 0.245658
4.24002e-07, 0.24517
4.24482e-07, 0.244792
4.24962e-07, 0.244509
4.25443e-07, 0.244282
4.25923e-07, 0.244061
4.26403e-07, 0.243794
4.26883e-07, 0.243441
4.27363e-07, 0.242981
4.27843e-07, 0.242417
4.28323e-07, 0.241775
4.28803e-07, 0.241099
4.29283e-07, 0.240439
4.29763e-07, 0.239844
4.30243e-07, 0.239353
4.30723e-07, 0.238993
4.31203e-07, 0.238776
4.31683e-07, 0.238695
4.32163e-07, 0.238732
4.32643e-07, 0.238854
4.33123e-07, 0.239024
4.33603e-07, 0.239211
4.34083e-07, 0.239394
4.34563e-07, 0.239571
4.35044e-07, 0.239759
4.35524e-07, 0.239991
4.36004e-07, 0.240305
4.36484e-07, 0.24073
4.36964e-07, 0.241279
4.37444e-07, 0.241945
4.37924e-07, 0.242703
4.38404e-07, 0.243518
4.38884e-07, 0.244351
4.39364e-07, 0.245165
4.39844e-07, 0.24592
4.40324e-07, 0.246576
4.40804e-07, 0.247104
4.41284e-07, 0.247491
4.41764e-07, 0.247743
4.42244e-07, 0.247876
4.42724e-07, 0.247891
4.43204e-07, 0.24776
4.43684e-07, 0.247439
4.44164e-07, 0.246899
4.44644e-07, 0.246158
4.45125e-07, 0.245278
4.45605e-07, 0.244324
