

lambda(m), Y
4e-07, 0.279458
4.0048e-07, 0.279039
4.0096e-07, 0.278643
4.0144e-07, 0.277925
4.0192e-07, 0.277463
4.024e-07, 0.276973
4.0288e-07, 0.276138
4.0336e-07, 0.275825
4.0384e-07, 0.275249
4.0432e-07, 0.274565
4.048e-07, 0.2744
4.05281e-07, 0.273683
4.05761e-07, 0.273209
4.06241e-07, 0.272896
4.06721e-07, 0.272111
4.07201e-07, 0.271804
4.07681e-07, 0.271359
4.08161e-07, 0.270855
4.08641e-07, 0.270786
4.09121e-07, 0.270557
4.09601e-07, 0.270498
4.10081e-07, 0.270663
4.10561e-07, 0.270621
4.11041e-07, 0.270691
4.11521e-07, 0.270753
4.12001e-07, 0.270514
4.12481e-07, 0.270448
4.12961e-07, 0.270211
4.13441e-07, 0.269909
4.13921e-07, 0.269891
4.14401e-07, 0.269704
4.14881e-07, 0.269799
4.15362e-07, 0.270068
4.15842e-07, 0.270183
4.16322e-07, 0.270707
4.16802e-07, 0.270884
4.17282e-07, 0.271148
4.17762e-07, 0.271361
4.18242e-07, 0.271138
4.18722e-07, 0.271232
4.19202e-07, 0.270761
4.19682e-07, 0.27068
4.20162e-07, 0.270334
4.20642e-07, 0.270271
4.21122e-07, 0.2702
4.21602e-07, 0.270417
4.22082e-07, 0.270491
4.22562e-07, 0.271013
4.23042e-07, 0.27097
4.23522e-07, 0.271491
4.24002e-07, 0.271107
4.24482e-07, 0.271256
4.24962e-07, 0.27046
4.25443e-07, 0.270138
4.25923e-07, 0.269023
4.26403e-07, 0.268509
4.26883e-07, 0.267302
4.27363e-07, 0.267001
4.27843e-07, 0.266007
4.28323e-07, 0.266042
4.28803e-07, 0.265605
4.29283e-07, 0.26555
4.29763e-07, 0.265946
4.30243e-07, 0.265185
4.30723e-07, 0.265998
4.31203e-07, 0.265156
4.31683e-07, 0.26424
4.32163e-07, 0.265114
4.32643e-07, 0.263532
4.33123e-07, 0.259721
4.33603e-07, 0.258142
4.34083e-07, 0.257583
4.34563e-07, 0.257345
4.35044e-07, 0.257507
4.35524e-07, 0.257857
4.36004e-07, 0.25858
4.36484e-07, 0.259165
4.36964e-07, 0.260093
4.37444e-07, 0.260579
4.37924e-07, 0.261275
4.38404e-07, 0.261408
4.38884e-07, 0.261595
4.39364e-07, 0.261354
