

lambda(m), Y
4e-07, 0.106123
4.0048e-07, 0.10538
4.0096e-07, 0.10475
4.0144e-07, 0.104386
4.0192e-07, 0.104346
4.024e-07, 0.104575
4.0288e-07, 0.104931
4.0336e-07, 0.105224
4.0384e-07, 0.105278
4.0432e-07, 0.10498
4.048e-07, 0.104311
4.05281e-07, 0.10335
4.05761e-07, 0.102247
4.06241e-07, 0.101181
4.06721e-07, 0.100312
4.07201e-07, 0.099741
4.07681e-07, 0.0994877
4.08161e-07, 0.0994859
4.08641e-07, 0.0996066
4.09121e-07, 0.0996964
4.09601e-07, 0.0996204
4.10081e-07, 0.0992988
4.10561e-07, 0.0987276
4.11041e-07, 0.0979821
4.11521e-07, 0.0971992
4.12001e-07, 0.0965371
4.12481e-07, 0.0961238
4.12961e-07, 0.0960335
4.13441e-07, 0.0963012
4.13921e-07, 0.0968903
4.14401e-07, 0.0976649
4.14881e-07, 0.0985275
4.15362e-07, 0.0993428
4.15842e-07, 0.100028
4.16322e-07, 0.100539
4.16802e-07, 0.100894
4.17282e-07, 0.101163
4.17762e-07, 0.101443
4.18242e-07, 0.101833
4.18722e-07, 0.102407
4.19202e-07, 0.103192
4.19682e-07, 0.104161
4.20162e-07, 0.105237
4.20642e-07, 0.106311
4.21122e-07, 0.107266
4.21602e-07, 0.108006
4.22082e-07, 0.108475
4.22562e-07, 0.108672
4.23042e-07, 0.108647
4.23522e-07, 0.108491
4.24002e-07, 0.108316
4.24482e-07, 0.108227
4.24962e-07, 0.108301
4.25443e-07, 0.108567
4.25923e-07, 0.108998
4.26403e-07, 0.109522
4.26883e-07, 0.110042
4.27363e-07, 0.110463
4.27843e-07, 0.110717
4.28323e-07, 0.110777
4.28803e-07, 0.110656
4.29283e-07, 0.110397
4.29763e-07, 0.110051
4.30243e-07, 0.109671
4.30723e-07, 0.109298
4.31203e-07, 0.108971
4.31683e-07, 0.108727
4.32163e-07, 0.108598
4.32643e-07, 0.108592
4.33123e-07, 0.108674
4.33603e-07, 0.108764
4.34083e-07, 0.108754
4.34563e-07, 0.108551
4.35044e-07, 0.108121
4.35524e-07, 0.107503
4.36004e-07, 0.10678
4.36484e-07, 0.106036
4.36964e-07, 0.105318
4.37444e-07, 0.104645
4.37924e-07, 0.104036
4.38404e-07, 0.103542
4.38884e-07, 0.10323
4.39364e-07, 0.103132
4.39844e-07, 0.103205
4.40324e-07, 0.103345
4.40804e-07, 0.103449
4.41284e-07, 0.103479
4.41764e-07, 0.103467
4.42244e-07, 0.103456
4.42724e-07, 0.103449
4.43204e-07, 0.103412
4.43684e-07, 0.103342
4.44164e-07, 0.103317
4.44644e-07, 0.103454
4.45125e-07, 0.103821
4.45605e-07, 0.104373
4.46085e-07, 0.105009
4.46565e-07, 0.105669
4.47045e-07, 0.106368
4.47525e-07, 0.107116
4.48005e-07, 0.107834
4.48485e-07, 0.108387
4.48965e-07, 0.108717
4.49445e-07, 0.108902
4.49925e-07, 0.109061
4.50405e-07, 0.109218
4.50885e-07, 0.10932
4.51365e-07, 0.109375
4.51845e-07, 0.109506
4.52325e-07, 0.109821
4.52805e-07, 0.110272
4.53285e-07, 0.110718
4.53765e-07, 0.111114
4.54245e-07, 0.111532
4.54725e-07, 0.111988
4.55206e-07, 0.112351
4.55686e-07, 0.112504
4.56166e-07, 0.112502
4.56646e-07, 0.112483
4.57126e-07, 0.112458
4.57606e-07, 0.112341
4.58086e-07, 0.11216
4.58566e-07, 0.112088
4.59046e-07, 0.112219
4.59526e-07, 0.112454
4.60006e-07, 0.112713
4.60486e-07, 0.113084
4.60966e-07, 0.113643
4.61446e-07, 0.114257
4.61926e-07, 0.114755
4.62406e-07, 0.115171
4.62886e-07, 0.115599
4.63366e-07, 0.115942
4.63846e-07, 0.116049
4.64326e-07, 0.115996
4.64806e-07, 0.115951
4.65287e-07, 0.115884
4.65767e-07, 0.115691
4.66247e-07, 0.11549
4.66727e-07, 0.115457
4.67207e-07, 0.115528
4.67687e-07, 0.115555
4.68167e-07, 0.11562
4.68647e-07, 0.115824
4.69127e-07, 0.115997
4.69607e-07, 0.115968
4.70087e-07, 0.115858
4.70567e-07, 0.115733
4.71047e-07, 0.115396
4.71527e-07, 0.114819
4.72007e-07, 0.114234
4.72487e-07, 0.113659
4.72967e-07, 0.112949
4.73447e-07, 0.112231
4.73927e-07, 0.111713
4.74407e-07, 0.111279
4.74887e-07, 0.110809
4.75368e-07, 0.110495
4.75848e-07, 0.110359
4.76328e-07, 0.110137
4.76808e-07, 0.109861
4.77288e-07, 0.109697
4.77768e-07, 0.109452
4.78248e-07, 0.109008
4.78728e-07, 0.108585
4.79208e-07, 0.108203
4.79688e-07, 0.107661
4.80168e-07, 0.107135
4.80648e-07, 0.10683
4.81128e-07, 0.10654
4.81608e-07, 0.10631
4.82088e-07, 0.106375
4.82568e-07, 0.106607
4.83048e-07, 0.10687
4.83528e-07, 0.107381
4.84008e-07, 0.108074
4.84488e-07, 0.108715
4.84968e-07, 0.109453
4.85449e-07, 0.110295
4.85929e-07, 0.110945
4.86409e-07, 0.111513
4.86889e-07, 0.112123
4.87369e-07, 0.112524
4.87849e-07, 0.112801
4.88329e-07, 0.113186
4.88809e-07, 0.113486
4.89289e-07, 0.113753
4.89769e-07, 0.114261
4.90249e-07, 0.114828
4.90729e-07, 0.115437
4.91209e-07, 0.116338
4.91689e-07, 0.117313
4.92169e-07, 0.118273
4.92649e-07, 0.119433
4.93129e-07, 0.120545
4.93609e-07, 0.121495
4.94089e-07, 0.122497
4.94569e-07, 0.123306
4.9505e-07, 0.123854
4.9553e-07, 0.124387
4.9601e-07, 0.124687
4.9649e-07, 0.124768
4.9697e-07, 0.124908
4.9745e-07, 0.12489
4.9793e-07, 0.124807
4.9841e-07, 0.1249
4.9889e-07, 0.124915
4.9937e-07, 0.124985
4.9985e-07, 0.12525
5.0033e-07, 0.125396
5.0081e-07, 0.125599
5.0129e-07, 0.125866
5.0177e-07, 0.12588
5.0225e-07, 0.125897
5.0273e-07, 0.12579
5.0321e-07, 0.125357
5.0369e-07, 0.124931
5.0417e-07, 0.124264
5.0465e-07, 0.123378
5.05131e-07, 0.122575
5.05611e-07, 0.121536
5.06091e-07, 0.120524
5.06571e-07, 0.119643
5.07051e-07, 0.118622
5.07531e-07, 0.117855
5.08011e-07, 0.11716
5.08491e-07, 0.116463
5.08971e-07, 0.116078
5.09451e-07, 0.115622
5.09931e-07, 0.11529
5.10411e-07, 0.115108
5.10891e-07, 0.114752
5.11371e-07, 0.114561
5.11851e-07, 0.114254
5.12331e-07, 0.113819
5.12811e-07, 0.113483
5.13291e-07, 0.112885
5.13771e-07, 0.112346
5.14251e-07, 0.111782
5.14731e-07, 0.111083
5.15212e-07, 0.110602
5.15692e-07, 0.11002
5.16172e-07, 0.109594
5.16652e-07, 0.10934
5.17132e-07, 0.109059
5.17612e-07, 0.109098
5.18092e-07, 0.109134
5.18572e-07, 0.109342
5.19052e-07, 0.109746
5.19532e-07, 0.110104
5.20012e-07, 0.110735
5.20492e-07, 0.111305
5.20972e-07, 0.111979
5.21452e-07, 0.112742
5.21932e-07, 0.11338
5.22412e-07, 0.114179
5.22892e-07, 0.114809
5.23372e-07, 0.115483
5.23852e-07, 0.116134
5.24332e-07, 0.11666
5.24812e-07, 0.11731
5.25293e-07, 0.117806
5.25773e-07, 0.118419
5.26253e-07, 0.119015
5.26733e-07, 0.119602
5.27213e-07, 0.120321
5.27693e-07, 0.12093
5.28173e-07, 0.12168
5.28653e-07, 0.122336
5.29133e-07, 0.122994
5.29613e-07, 0.123651
5.30093e-07, 0.12415
5.30573e-07, 0.124714
5.31053e-07, 0.125078
5.31533e-07, 0.125483
5.32013e-07, 0.125796
5.32493e-07, 0.126064
5.32973e-07, 0.126414
5.33453e-07, 0.126656
5.33933e-07, 0.127102
5.34413e-07, 0.127458
5.34893e-07, 0.128018
5.35374e-07, 0.128585
5.35854e-07, 0.129238
5.36334e-07, 0.130015
5.36814e-07, 0.130717
5.37294e-07, 0.131597
5.37774e-07, 0.132276
5.38254e-07, 0.133086
5.38734e-07, 0.133648
5.39214e-07, 0.134207
5.39694e-07, 0.134554
5.40174e-07, 0.134735
5.40654e-07, 0.13479
5.41134e-07, 0.13455
5.41614e-07, 0.134282
5.42094e-07, 0.133675
5.42574e-07, 0.133111
5.43054e-07, 0.132258
5.43534e-07, 0.131479
5.44014e-07, 0.130535
5.44494e-07, 0.129656
5.44974e-07, 0.128762
5.45455e-07, 0.127895
5.45935e-07, 0.127145
5.46415e-07, 0.12637
5.46895e-07, 0.125798
5.47375e-07, 0.125155
5.47855e-07, 0.124743
5.48335e-07, 0.124235
5.48815e-07, 0.123939
5.49295e-07, 0.123549
5.49775e-07, 0.123316
5.50255e-07, 0.123016
5.50735e-07, 0.1228
5.51215e-07, 0.122554
5.51695e-07, 0.122315
5.52175e-07, 0.122087
5.52655e-07, 0.121798
5.53135e-07, 0.121558
5.53615e-07, 0.121206
5.54095e-07, 0.120935
5.54575e-07, 0.120523
5.55056e-07, 0.120213
5.55536e-07, 0.119752
5.56016e-07, 0.119406
5.56496e-07, 0.118918
5.56976e-07, 0.118552
5.57456e-07, 0.118068
5.57936e-07, 0.117709
5.58416e-07, 0.117272
5.58896e-07, 0.116959
5.59376e-07, 0.116612
5.59856e-07, 0.116382
5.60336e-07, 0.116155
5.60816e-07, 0.116028
5.61296e-07, 0.115926
5.61776e-07, 0.115895
5.62256e-07, 0.115896
5.62736e-07, 0.11594
5.63216e-07, 0.116016
5.63696e-07, 0.116122
5.64176e-07, 0.11626
5.64656e-07, 0.116435
5.65137e-07, 0.116652
5.65617e-07, 0.11692
5.66097e-07, 0.117244
5.66577e-07, 0.117627
5.67057e-07, 0.118089
5.67537e-07, 0.11859
5.68017e-07, 0.11919
5.68497e-07, 0.119784
5.68977e-07, 0.120489
5.69457e-07, 0.121128
5.69937e-07, 0.121872
5.70417e-07, 0.122493
5.70897e-07, 0.123191
5.71377e-07, 0.123728
5.71857e-07, 0.124308
5.72337e-07, 0.124705
5.72817e-07, 0.125137
5.73297e-07, 0.125377
5.73777e-07, 0.125687
5.74257e-07, 0.125817
5.74737e-07, 0.126077
5.75218e-07, 0.126203
5.75698e-07, 0.126501
5.76178e-07, 0.126747
5.76658e-07, 0.127169
5.77138e-07, 0.127615
5.77618e-07, 0.128229
5.78098e-07, 0.128888
5.78578e-07, 0.12969
5.79058e-07, 0.130569
5.79538e-07, 0.131485
5.80018e-07, 0.132496
5.80498e-07, 0.133514
5.80978e-07, 0.134606
5.81458e-07, 0.13556
5.81938e-07, 0.136613
5.82418e-07, 0.137473
5.82898e-07, 0.138422
5.83378e-07, 0.139127
5.83858e-07, 0.139896
5.84338e-07, 0.140393
5.84818e-07, 0.140919
5.85299e-07, 0.141173
5.85779e-07, 0.141418
5.86259e-07, 0.141425
5.86739e-07, 0.141393
5.87219e-07, 0.141192
5.87699e-07, 0.140933
5.88179e-07, 0.140597
5.88659e-07, 0.140195
5.89139e-07, 0.139813
5.89619e-07, 0.13936
5.90099e-07, 0.139007
5.90579e-07, 0.138577
5.91059e-07, 0.138294
5.91539e-07, 0.137928
5.92019e-07, 0.13772
5.92499e-07, 0.137429
5.92979e-07, 0.137273
5.93459e-07, 0.137044
5.93939e-07, 0.136904
5.94419e-07, 0.136716
5.94899e-07, 0.136553
5.9538e-07, 0.136382
5.9586e-07, 0.136161
5.9634e-07, 0.135981
5.9682e-07, 0.135683
5.973e-07, 0.135471
5.9778e-07, 0.135093
5.9826e-07, 0.134815
5.9874e-07, 0.134366
5.9922e-07, 0.133987
5.997e-07, 0.133482
6.0018e-07, 0.132972
6.0066e-07, 0.13243
6.0114e-07, 0.131787
6.0162e-07, 0.131221
6.021e-07, 0.130486
6.0258e-07, 0.1299
6.0306e-07, 0.129146
6.0354e-07, 0.128529
6.0402e-07, 0.127832
6.045e-07, 0.127185
6.0498e-07, 0.126587
6.05461e-07, 0.125929
6.05941e-07, 0.125425
6.06421e-07, 0.124792
6.06901e-07, 0.124327
6.07381e-07, 0.123743
6.07861e-07, 0.12324
6.08341e-07, 0.122682
6.08821e-07, 0.122068
6.09301e-07, 0.121469
6.09781e-07, 0.120698
6.10261e-07, 0.119974
6.10741e-07, 0.119046
6.11221e-07, 0.118144
6.11701e-07, 0.117104
6.12181e-07, 0.116041
6.12661e-07, 0.11497
6.13141e-07, 0.113837
6.13621e-07, 0.112836
6.14101e-07, 0.11178
6.14581e-07, 0.11093
6.15062e-07, 0.110099
6.15542e-07, 0.109444
6.16022e-07, 0.10892
6.16502e-07, 0.108481
6.16982e-07, 0.108268
6.17462e-07, 0.108056
6.17942e-07, 0.108081
6.18422e-07, 0.1081
6.18902e-07, 0.108257
6.19382e-07, 0.108483
6.19862e-07, 0.108687
6.20342e-07, 0.109047
6.20822e-07, 0.109282
6.21302e-07, 0.109666
6.21782e-07, 0.109965
6.22262e-07, 0.110289
6.22742e-07, 0.110687
6.23222e-07, 0.11097
6.23702e-07, 0.111463
6.24182e-07, 0.111845
6.24662e-07, 0.112401
6.25143e-07, 0.113037
6.25623e-07, 0.113685
6.26103e-07, 0.114627
6.26583e-07, 0.115495
6.27063e-07, 0.116651
6.27543e-07, 0.117857
6.28023e-07, 0.119111
6.28503e-07, 0.120606
6.28983e-07, 0.121946
6.29463e-07, 0.123503
6.29943e-07, 0.124955
6.30423e-07, 0.126337
6.30903e-07, 0.127796
6.31383e-07, 0.128956
6.31863e-07, 0.13019
6.32343e-07, 0.131189
6.32823e-07, 0.132028
6.33303e-07, 0.132853
6.33783e-07, 0.133354
6.34263e-07, 0.133899
6.34743e-07, 0.134235
6.35224e-07, 0.134457
6.35704e-07, 0.134708
6.36184e-07, 0.134739
6.36664e-07, 0.134881
6.37144e-07, 0.134921
6.37624e-07, 0.13494
6.38104e-07, 0.135069
6.38584e-07, 0.13508
6.39064e-07, 0.135258
6.39544e-07, 0.135411
6.40024e-07, 0.135589
6.40504e-07, 0.135916
6.40984e-07, 0.13617
6.41464e-07, 0.136593
6.41944e-07, 0.137021
6.42424e-07, 0.137465
6.42904e-07, 0.138063
6.43384e-07, 0.138593
6.43864e-07, 0.139249
6.44344e-07, 0.139921
6.44824e-07, 0.14058
6.45305e-07, 0.141348
6.45785e-07, 0.142019
6.46265e-07, 0.142771
6.46745e-07, 0.14349
6.47225e-07, 0.14411
6.47705e-07, 0.1448
6.48185e-07, 0.14532
6.48665e-07, 0.14582
6.49145e-07, 0.146272
6.49625e-07, 0.146533
6.50105e-07, 0.146826
6.50585e-07, 0.146933
6.51065e-07, 0.14696
6.51545e-07, 0.146987
6.52025e-07, 0.146801
6.52505e-07, 0.146686
6.52985e-07, 0.146477
6.53465e-07, 0.146154
6.53945e-07, 0.14597
6.54425e-07, 0.145609
6.54905e-07, 0.145305
6.55386e-07, 0.145098
6.55866e-07, 0.144704
6.56346e-07, 0.144501
6.56826e-07, 0.144266
6.57306e-07, 0.143922
6.57786e-07, 0.143804
6.58266e-07, 0.143528
6.58746e-07, 0.143263
6.59226e-07, 0.143153
6.59706e-07, 0.142822
6.60186e-07, 0.142609
6.60666e-07, 0.142422
6.61146e-07, 0.142039
6.61626e-07, 0.141825
6.62106e-07, 0.141516
6.62586e-07, 0.141105
6.63066e-07, 0.140854
6.63546e-07, 0.140447
6.64026e-07, 0.140058
6.64506e-07, 0.139777
6.64986e-07, 0.139356
6.65467e-07, 0.139051
6.65947e-07, 0.138792
6.66427e-07, 0.138462
6.66907e-07, 0.138303
6.67387e-07, 0.138142
6.67867e-07, 0.138006
6.68347e-07, 0.13805
6.68827e-07, 0.13808
6.69307e-07, 0.13823
6.69787e-07, 0.138539
6.70267e-07, 0.138854
6.70747e-07, 0.139355
6.71227e-07, 0.139974
6.71707e-07, 0.140627
6.72187e-07, 0.141472
6.72667e-07, 0.142371
6.73147e-07, 0.143308
6.73627e-07, 0.144379
6.74107e-07, 0.145427
6.74587e-07, 0.146489
6.75068e-07, 0.147585
6.75548e-07, 0.148595
6.76028e-07, 0.149584
6.76508e-07, 0.150504
6.76988e-07, 0.151307
6.77468e-07, 0.152058
6.77948e-07, 0.152654
6.78428e-07, 0.153135
6.78908e-07, 0.153538
6.79388e-07, 0.15372
6.79868e-07, 0.153807
6.80348e-07, 0.153791
6.80828e-07, 0.153506
6.81308e-07, 0.153151
6.81788e-07, 0.152672
6.82268e-07, 0.151894
6.82748e-07, 0.151071
6.83228e-07, 0.150111
6.83708e-07, 0.148849
6.84188e-07, 0.14757
6.84668e-07, 0.146159
6.85149e-07, 0.144476
6.85629e-07, 0.142811
6.86109e-07, 0.141043
6.86589e-07, 0.139074
6.87069e-07, 0.137174
6.87549e-07, 0.135219
6.88029e-07, 0.133173
6.88509e-07, 0.131268
6.88989e-07, 0.129367
