

lambda(m), Y
4e-07, 0.11287
4.0048e-07, 0.112357
4.0096e-07, 0.111678
4.0144e-07, 0.110952
4.0192e-07, 0.110292
4.024e-07, 0.109778
4.0288e-07, 0.109442
4.0336e-07, 0.109262
4.0384e-07, 0.109175
4.0432e-07, 0.109092
4.048e-07, 0.10892
4.05281e-07, 0.108591
4.05761e-07, 0.108071
4.06241e-07, 0.107368
4.06721e-07, 0.106531
4.07201e-07, 0.105639
4.07681e-07, 0.104784
4.08161e-07, 0.104057
4.08641e-07, 0.103524
4.09121e-07, 0.103218
4.09601e-07, 0.103128
4.10081e-07, 0.103201
4.10561e-07, 0.103355
4.11041e-07, 0.103495
4.11521e-07, 0.103537
4.12001e-07, 0.103428
4.12481e-07, 0.103165
4.12961e-07, 0.102796
4.13441e-07, 0.102413
4.13921e-07, 0.102124
4.14401e-07, 0.102027
4.14881e-07, 0.102183
4.15362e-07, 0.102597
4.15842e-07, 0.10323
4.16322e-07, 0.104016
4.16802e-07, 0.104884
4.17282e-07, 0.105769
4.17762e-07, 0.106618
4.18242e-07, 0.107383
4.18722e-07, 0.108019
4.19202e-07, 0.108505
4.19682e-07, 0.108855
4.20162e-07, 0.109136
4.20642e-07, 0.109448
4.21122e-07, 0.109887
4.21602e-07, 0.110497
4.22082e-07, 0.111257
4.22562e-07, 0.112102
4.23042e-07, 0.112964
4.23522e-07, 0.1138
4.24002e-07, 0.114586
4.24482e-07, 0.115282
4.24962e-07, 0.115827
4.25443e-07, 0.116168
4.25923e-07, 0.116307
4.26403e-07, 0.116317
4.26883e-07, 0.116314
4.27363e-07, 0.116384
4.27843e-07, 0.116552
4.28323e-07, 0.116804
4.28803e-07, 0.117143
4.29283e-07, 0.117597
4.29763e-07, 0.118165
4.30243e-07, 0.118761
4.30723e-07, 0.119239
4.31203e-07, 0.119487
4.31683e-07, 0.119488
4.32163e-07, 0.119272
4.32643e-07, 0.118842
4.33123e-07, 0.118171
4.33603e-07, 0.117279
4.34083e-07, 0.116284
4.34563e-07, 0.115335
4.35044e-07, 0.114505
4.35524e-07, 0.113765
4.36004e-07, 0.113083
4.36484e-07, 0.112497
4.36964e-07, 0.112042
4.37444e-07, 0.111643
4.37924e-07, 0.111158
4.38404e-07, 0.110535
4.38884e-07, 0.109833
4.39364e-07, 0.109099
4.39844e-07, 0.108297
4.40324e-07, 0.107415
4.40804e-07, 0.106564
4.41284e-07, 0.105908
4.41764e-07, 0.105501
4.42244e-07, 0.1053
4.42724e-07, 0.105325
4.43204e-07, 0.105684
4.43684e-07, 0.106371
4.44164e-07, 0.107225
4.44644e-07, 0.108137
4.45125e-07, 0.109113
4.45605e-07, 0.110127
4.46085e-07, 0.111022
4.46565e-07, 0.111683
4.47045e-07, 0.112203
4.47525e-07, 0.112674
4.48005e-07, 0.113038
4.48485e-07, 0.113291
4.48965e-07, 0.113579
4.49445e-07, 0.114046
4.49925e-07, 0.114598
4.50405e-07, 0.115179
4.50885e-07, 0.115897
4.51365e-07, 0.116764
4.51845e-07, 0.117576
4.52325e-07, 0.118235
4.52805e-07, 0.118813
4.53285e-07, 0.119258
4.53765e-07, 0.119397
4.54245e-07, 0.119265
4.54725e-07, 0.119023
4.55206e-07, 0.118642
4.55686e-07, 0.118066
4.56166e-07, 0.117478
4.56646e-07, 0.117018
4.57126e-07, 0.116583
4.57606e-07, 0.116183
4.58086e-07, 0.115986
4.58566e-07, 0.115936
4.59046e-07, 0.115867
4.59526e-07, 0.115857
4.60006e-07, 0.115952
4.60486e-07, 0.115963
4.60966e-07, 0.115854
4.61446e-07, 0.115772
4.61926e-07, 0.115644
4.62406e-07, 0.115378
4.62886e-07, 0.11516
4.63366e-07, 0.11507
4.63846e-07, 0.115005
4.64326e-07, 0.115088
4.64806e-07, 0.11548
4.65287e-07, 0.11606
4.65767e-07, 0.116813
4.66247e-07, 0.117877
4.66727e-07, 0.119113
4.67207e-07, 0.120363
4.67687e-07, 0.121711
4.68167e-07, 0.123044
4.68647e-07, 0.124141
4.69127e-07, 0.125077
4.69607e-07, 0.125836
4.70087e-07, 0.126233
4.70567e-07, 0.126386
4.71047e-07, 0.126403
4.71527e-07, 0.126159
4.72007e-07, 0.125797
4.72487e-07, 0.125486
4.72967e-07, 0.125101
4.73447e-07, 0.124743
4.73927e-07, 0.124559
4.74407e-07, 0.124362
4.74887e-07, 0.124189
4.75368e-07, 0.124139
4.75848e-07, 0.123975
4.76328e-07, 0.123717
4.76808e-07, 0.123454
4.77288e-07, 0.122948
4.77768e-07, 0.122278
4.78248e-07, 0.121547
4.78728e-07, 0.120561
4.79208e-07, 0.11948
4.79688e-07, 0.118404
4.80168e-07, 0.117178
4.80648e-07, 0.11602
4.81128e-07, 0.114969
4.81608e-07, 0.113892
4.82088e-07, 0.113016
4.82568e-07, 0.112275
4.83048e-07, 0.111564
4.83528e-07, 0.111084
4.84008e-07, 0.110665
4.84488e-07, 0.110272
4.84968e-07, 0.110054
4.85449e-07, 0.109792
4.85929e-07, 0.109562
4.86409e-07, 0.109439
4.86889e-07, 0.109228
4.87369e-07, 0.109118
4.87849e-07, 0.109079
4.88329e-07, 0.109023
4.88809e-07, 0.109169
4.89289e-07, 0.109392
4.89769e-07, 0.109737
4.90249e-07, 0.110346
4.90729e-07, 0.111044
4.91209e-07, 0.111971
4.91689e-07, 0.113105
4.92169e-07, 0.114306
4.92649e-07, 0.115715
4.93129e-07, 0.117158
4.93609e-07, 0.118603
4.94089e-07, 0.12011
4.94569e-07, 0.121469
4.9505e-07, 0.122785
4.9553e-07, 0.124001
4.9601e-07, 0.125021
4.9649e-07, 0.126019
