

lambda(m), Y
4e-07, 0.0922863
4.0048e-07, 0.0931801
4.0096e-07, 0.0940025
4.0144e-07, 0.0945723
4.0192e-07, 0.0948211
4.024e-07, 0.0948049
4.0288e-07, 0.0946722
4.0336e-07, 0.094607
4.0384e-07, 0.0947713
4.0432e-07, 0.0952662
4.048e-07, 0.0961151
4.05281e-07, 0.0972645
4.05761e-07, 0.0985931
4.06241e-07, 0.0999288
4.06721e-07, 0.101081
4.07201e-07, 0.10189
4.07681e-07, 0.102291
4.08161e-07, 0.102349
4.08641e-07, 0.102245
4.09121e-07, 0.102212
4.09601e-07, 0.102431
4.10081e-07, 0.102957
4.10561e-07, 0.10371
4.11041e-07, 0.104526
4.11521e-07, 0.105252
4.12001e-07, 0.105785
4.12481e-07, 0.106072
4.12961e-07, 0.106065
4.13441e-07, 0.105732
4.13921e-07, 0.105112
4.14401e-07, 0.10436
4.14881e-07, 0.103695
4.15362e-07, 0.103292
4.15842e-07, 0.10318
4.16322e-07, 0.103257
4.16802e-07, 0.103376
4.17282e-07, 0.103451
4.17762e-07, 0.103449
4.18242e-07, 0.103308
4.18722e-07, 0.10291
4.19202e-07, 0.102192
4.19682e-07, 0.101255
4.20162e-07, 0.100316
4.20642e-07, 0.0995526
4.21122e-07, 0.0990045
4.21602e-07, 0.0986214
4.22082e-07, 0.0983993
4.22562e-07, 0.0984051
4.23042e-07, 0.0986121
4.23522e-07, 0.0988262
4.24002e-07, 0.098861
4.24482e-07, 0.0986949
4.24962e-07, 0.0984439
4.25443e-07, 0.0981925
4.25923e-07, 0.0978874
4.26403e-07, 0.0975496
4.26883e-07, 0.097354
4.27363e-07, 0.0974687
4.27843e-07, 0.0978817
4.28323e-07, 0.0984182
4.28803e-07, 0.0989959
4.29283e-07, 0.0997118
4.29763e-07, 0.10048
4.30243e-07, 0.101083
4.30723e-07, 0.101408
4.31203e-07, 0.101589
4.31683e-07, 0.101754
4.32163e-07, 0.101843
4.32643e-07, 0.10182
4.33123e-07, 0.101868
4.33603e-07, 0.102166
4.34083e-07, 0.102621
4.34563e-07, 0.103073
4.35044e-07, 0.103582
4.35524e-07, 0.10423
4.36004e-07, 0.104847
4.36484e-07, 0.105239
4.36964e-07, 0.105497
4.37444e-07, 0.105761
4.37924e-07, 0.10593
4.38404e-07, 0.105924
4.38884e-07, 0.105951
4.39364e-07, 0.106183
4.39844e-07, 0.106502
4.40324e-07, 0.106858
4.40804e-07, 0.107435
4.41284e-07, 0.108243
4.41764e-07, 0.109027
4.42244e-07, 0.109724
4.42724e-07, 0.110452
4.43204e-07, 0.111074
4.43684e-07, 0.111366
4.44164e-07, 0.111444
4.44644e-07, 0.111457
4.45125e-07, 0.111263
4.45605e-07, 0.11086
4.46085e-07, 0.110531
4.46565e-07, 0.110299
4.47045e-07, 0.109993
4.47525e-07, 0.109754
4.48005e-07, 0.109702
4.48485e-07, 0.109585
4.48965e-07, 0.109315
4.49445e-07, 0.10907
4.49925e-07, 0.108706
4.50405e-07, 0.108031
4.50885e-07, 0.107264
4.51365e-07, 0.106481
4.51845e-07, 0.105494
4.52325e-07, 0.10449
4.52805e-07, 0.103696
4.53285e-07, 0.102936
4.53765e-07, 0.102256
4.54245e-07, 0.101901
4.54725e-07, 0.101679
4.55206e-07, 0.10147
4.55686e-07, 0.10148
4.56166e-07, 0.101544
4.56646e-07, 0.101453
4.57126e-07, 0.101418
4.57606e-07, 0.101379
4.58086e-07, 0.101137
4.58566e-07, 0.100949
4.59046e-07, 0.10087
4.59526e-07, 0.100725
4.60006e-07, 0.100778
4.60486e-07, 0.101116
4.60966e-07, 0.10152
4.61446e-07, 0.102189
4.61926e-07, 0.103155
4.62406e-07, 0.104117
4.62886e-07, 0.10521
4.63366e-07, 0.106417
4.63846e-07, 0.107413
4.64326e-07, 0.108364
4.64806e-07, 0.109265
4.65287e-07, 0.109859
4.65767e-07, 0.110415
4.66247e-07, 0.110946
4.66727e-07, 0.111273
4.67207e-07, 0.11173
4.67687e-07, 0.11225
4.68167e-07, 0.112682
4.68647e-07, 0.113333
4.69127e-07, 0.113979
4.69607e-07, 0.11451
4.70087e-07, 0.115164
4.70567e-07, 0.115595
4.71047e-07, 0.115837
4.71527e-07, 0.11605
4.72007e-07, 0.115899
4.72487e-07, 0.115627
4.72967e-07, 0.115292
4.73447e-07, 0.114687
4.73927e-07, 0.114192
4.74407e-07, 0.113699
4.74887e-07, 0.113172
4.75368e-07, 0.112933
4.75848e-07, 0.112696
4.76328e-07, 0.112586
4.76808e-07, 0.112696
4.77288e-07, 0.112691
4.77768e-07, 0.112818
4.78248e-07, 0.112903
4.78728e-07, 0.112787
4.79208e-07, 0.112734
4.79688e-07, 0.11242
4.80168e-07, 0.112014
4.80648e-07, 0.11161
4.81128e-07, 0.110979
4.81608e-07, 0.110503
4.82088e-07, 0.110001
4.82568e-07, 0.109549
4.83048e-07, 0.109381
4.83528e-07, 0.1092
4.84008e-07, 0.109317
4.84488e-07, 0.109564
4.84968e-07, 0.109848
4.85449e-07, 0.110372
4.85929e-07, 0.11075
4.86409e-07, 0.111209
4.86889e-07, 0.111592
4.87369e-07, 0.111767
4.87849e-07, 0.112004
4.88329e-07, 0.11195
4.88809e-07, 0.111944
4.89289e-07, 0.111862
4.89769e-07, 0.111707
4.90249e-07, 0.111752
4.90729e-07, 0.111695
4.91209e-07, 0.111901
4.91689e-07, 0.112148
4.92169e-07, 0.112479
4.92649e-07, 0.113009
4.93129e-07, 0.1134
4.93609e-07, 0.113976
4.94089e-07, 0.114337
4.94569e-07, 0.114674
4.9505e-07, 0.114889
4.9553e-07, 0.11485
4.9601e-07, 0.114832
4.9649e-07, 0.114502
4.9697e-07, 0.114261
4.9745e-07, 0.113875
4.9793e-07, 0.113539
4.9841e-07, 0.113318
4.9889e-07, 0.113057
4.9937e-07, 0.113103
4.9985e-07, 0.113077
5.0033e-07, 0.113349
5.0081e-07, 0.113597
5.0129e-07, 0.113972
5.0177e-07, 0.11443
5.0225e-07, 0.114781
5.0273e-07, 0.115276
5.0321e-07, 0.115506
5.0369e-07, 0.115857
5.0417e-07, 0.11592
5.0465e-07, 0.116003
5.05131e-07, 0.115903
5.05611e-07, 0.115697
5.06091e-07, 0.115477
5.06571e-07, 0.115064
5.07051e-07, 0.114787
5.07531e-07, 0.114295
5.08011e-07, 0.11401
5.08491e-07, 0.113558
5.08971e-07, 0.11329
5.09451e-07, 0.112951
5.09931e-07, 0.112709
5.10411e-07, 0.112519
5.10891e-07, 0.112329
5.11371e-07, 0.112306
5.11851e-07, 0.112216
5.12331e-07, 0.112375
5.12811e-07, 0.112442
5.13291e-07, 0.112783
5.13771e-07, 0.113045
5.14251e-07, 0.11355
5.14731e-07, 0.114017
5.15212e-07, 0.114652
5.15692e-07, 0.115304
5.16172e-07, 0.116029
5.16652e-07, 0.116824
5.17132e-07, 0.117595
5.17612e-07, 0.118472
5.18092e-07, 0.11923
5.18572e-07, 0.120102
5.19052e-07, 0.120769
5.19532e-07, 0.121526
5.20012e-07, 0.122008
5.20492e-07, 0.122538
5.20972e-07, 0.122754
5.21452e-07, 0.122979
5.21932e-07, 0.122899
5.22412e-07, 0.122814
5.22892e-07, 0.122486
5.23372e-07, 0.122174
