

lambda(m), Y
5.08971e-07, 0.119348
5.09451e-07, 0.119243
5.09931e-07, 0.119241
5.10411e-07, 0.119247
5.10891e-07, 0.119224
5.11371e-07, 0.119225
5.11851e-07, 0.119255
5.12331e-07, 0.119224
5.12811e-07, 0.119079
5.13291e-07, 0.118875
5.13771e-07, 0.11865
5.14251e-07, 0.118355
5.14731e-07, 0.117957
5.15212e-07, 0.117531
5.15692e-07, 0.117145
5.16172e-07, 0.116781
5.16652e-07, 0.116427
5.17132e-07, 0.116149
5.17612e-07, 0.116005
5.18092e-07, 0.11597
5.18572e-07, 0.116015
5.19052e-07, 0.116171
5.19532e-07, 0.116457
5.20012e-07, 0.116828
5.20492e-07, 0.117243
5.20972e-07, 0.117709
5.21452e-07, 0.11823
5.21932e-07, 0.118773
5.22412e-07, 0.119306
5.22892e-07, 0.11984
5.23372e-07, 0.120398
5.23852e-07, 0.120962
5.24332e-07, 0.121503
5.24812e-07, 0.122054
5.25293e-07, 0.122647
5.25773e-07, 0.123247
5.26253e-07, 0.123838
5.26733e-07, 0.12448
5.27213e-07, 0.12518
5.27693e-07, 0.125885
5.28173e-07, 0.126619
5.28653e-07, 0.127436
5.29133e-07, 0.128287
5.29613e-07, 0.129131
5.30093e-07, 0.130014
5.30573e-07, 0.130931
5.31053e-07, 0.131799
5.31533e-07, 0.132613
5.32013e-07, 0.133408
5.32493e-07, 0.134121
5.32973e-07, 0.134692
5.33453e-07, 0.135175
5.33933e-07, 0.135571
5.34413e-07, 0.135799
5.34893e-07, 0.135895
5.35374e-07, 0.135936
5.35854e-07, 0.13585
5.36334e-07, 0.135632
5.36814e-07, 0.135409
5.37294e-07, 0.135139
5.37774e-07, 0.13476
5.38254e-07, 0.13442
5.38734e-07, 0.134105
5.39214e-07, 0.133707
5.39694e-07, 0.133363
5.40174e-07, 0.133083
5.40654e-07, 0.13273
5.41134e-07, 0.132417
5.41614e-07, 0.132171
5.42094e-07, 0.131848
5.42574e-07, 0.131529
5.43054e-07, 0.131258
5.43534e-07, 0.130896
5.44014e-07, 0.130497
5.44494e-07, 0.13012
5.44974e-07, 0.129639
5.45455e-07, 0.129097
5.45935e-07, 0.12856
5.46415e-07, 0.127925
5.46895e-07, 0.127225
5.47375e-07, 0.126536
5.47855e-07, 0.125773
5.48335e-07, 0.124963
5.48815e-07, 0.124189
5.49295e-07, 0.123361
5.49775e-07, 0.122519
5.50255e-07, 0.121731
5.50735e-07, 0.120899
5.51215e-07, 0.120095
5.51695e-07, 0.11932
5.52175e-07, 0.118541
5.52655e-07, 0.117789
5.53135e-07, 0.117068
5.53615e-07, 0.116385
5.54095e-07, 0.115715
5.54575e-07, 0.115143
5.55056e-07, 0.114597
5.55536e-07, 0.114142
5.56016e-07, 0.11377
5.56496e-07, 0.113486
5.56976e-07, 0.113264
5.57456e-07, 0.113162
5.57936e-07, 0.113099
5.58416e-07, 0.113113
5.58896e-07, 0.113192
5.59376e-07, 0.113332
5.59856e-07, 0.113465
5.60336e-07, 0.113692
5.60816e-07, 0.114046
5.61296e-07, 0.114446
5.61776e-07, 0.114889
5.62256e-07, 0.115332
5.62736e-07, 0.115868
5.63216e-07, 0.116414
5.63696e-07, 0.116977
5.64176e-07, 0.117608
5.64656e-07, 0.118195
5.65137e-07, 0.118794
5.65617e-07, 0.119393
